BUILDING TYPE,TOTAL KWH,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,RENTER-OCCUPIED HOUSING UNITS
Residential,148860.0,74.0,19.0,1.0,83.28,3.89,19.0,2.0
Residential,80651.0,45.0,15.0,1.42,86.67,3.21,14.0,1.0
Residential,25213.0,52.0,17.0,2.5,65.5,3.47,15.0,10.0
Residential,15540.0,52.0,17.0,1.5,56.0,3.47,15.0,10.0
Commercial,18555.0,35.0,9.0,1.0,83.0,3.89,9.0,1.0
Residential,44900.0,35.0,9.0,1.0,59.29,3.89,9.0,1.0
Residential,61480.0,50.0,15.0,1.13,49.75,3.33,15.0,2.0
Residential,36265.0,109.0,37.0,2.0,87.0,3.41,32.0,9.0
Residential,155804.0,109.0,37.0,1.17,45.17,3.41,32.0,9.0
Residential,90825.0,32.0,13.0,1.0,54.92,2.91,11.0,2.0
Residential,111413.0,1.0,1.0,1.31,75.75,1.0,1.0,1.0
Commercial,354853.0,277.0,98.0,1.2,54.8,3.18,87.0,21.0
Residential,52847.0,13.0,7.0,1.43,63.14,1.86,7.0,0.0
Residential,246096.0,277.0,98.0,1.74,85.32,3.18,87.0,21.0
Residential,436883.0,277.0,98.0,1.29,75.06,3.18,87.0,21.0
Commercial,28999.0,110.0,39.0,1.67,76.33,3.06,36.0,9.0
Residential,87888.0,110.0,39.0,2.0,84.83,3.06,36.0,9.0
Residential,149211.0,110.0,39.0,1.39,79.33,3.06,36.0,9.0
Residential,91598.0,49.0,15.0,1.08,79.42,3.27,15.0,4.0
Residential,142667.0,59.0,20.0,1.33,83.13,3.11,19.0,3.0
Residential,113395.0,35.0,16.0,1.13,77.8,2.5,14.0,0.0
Residential,115221.0,46.0,16.0,1.54,82.62,3.07,15.0,0.0
Residential,233476.0,77.0,32.0,1.2,70.57,2.41,32.0,3.0
Residential,57642.0,13.0,8.0,2.0,84.5,2.17,6.0,2.0
Residential,35099.0,20.0,6.0,1.67,56.67,3.33,6.0,1.0
Residential,61566.0,20.0,6.0,1.13,86.25,3.33,6.0,1.0
Commercial,44596.0,19.0,7.0,3.0,81.67,3.8,5.0,5.0
Residential,161365.0,128.0,40.0,2.0,73.81,3.46,37.0,22.0
Residential,18972.0,128.0,40.0,1.0,52.0,3.46,37.0,22.0
Residential,133711.0,48.0,14.0,1.07,75.29,3.43,14.0,1.0
Residential,250301.0,102.0,28.0,1.04,83.12,3.64,28.0,2.0
Commercial,191510.0,21.0,9.0,1.0,42.86,3.0,7.0,6.0
Residential,21097.0,21.0,9.0,2.0,88.0,3.0,7.0,6.0
Commercial,104790.0,39.0,12.0,1.33,45.67,3.25,12.0,10.0
Residential,106095.0,55.0,14.0,2.0,83.25,3.93,14.0,7.0
Residential,36580.0,55.0,14.0,1.5,74.0,3.93,14.0,7.0
Residential,109423.0,123.0,35.0,2.0,82.85,3.97,31.0,20.0
Residential,12752.0,123.0,35.0,2.0,55.0,3.97,31.0,20.0
Residential,62679.0,24.0,8.0,1.0,91.75,3.43,7.0,0.0
Residential,200588.0,98.0,29.0,1.75,93.25,3.63,27.0,8.0
Residential,96581.0,109.0,32.0,2.0,76.89,3.63,30.0,22.0
Residential,44688.0,109.0,32.0,1.33,59.17,3.63,30.0,22.0
Commercial,46453.0,10.0,7.0,1.25,26.75,2.5,4.0,4.0
Commercial,419295.0,19.0,7.0,1.5,46.5,3.8,5.0,5.0
Commercial,58049.0,35.0,15.0,1.67,81.33,2.69,13.0,3.0
Residential,101702.0,35.0,15.0,2.0,91.67,2.69,13.0,3.0
Residential,100623.0,10.0,4.0,1.33,75.0,2.5,4.0,2.0
Commercial,160578.0,54.0,29.0,2.0,25.0,2.16,25.0,20.0
Residential,69158.0,54.0,29.0,2.11,89.0,2.16,25.0,20.0
Residential,42944.0,30.0,12.0,2.0,95.75,2.5,12.0,6.0
Residential,14252.0,30.0,12.0,2.0,66.5,2.5,12.0,6.0
Commercial,34582.0,38.0,14.0,2.5,45.0,2.71,14.0,10.0
Residential,90309.0,38.0,14.0,2.0,86.33,2.71,14.0,10.0
Residential,51458.0,26.0,15.0,2.0,81.43,2.36,11.0,4.0
