BUILDING TYPE,TOTAL KWH,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,RENTER-OCCUPIED HOUSING UNITS
Residential,118079.0,40.0,14.0,1.08,81.62,2.86,14.0,1.0
Residential,79506.0,66.0,30.0,1.38,52.88,2.54,26.0,12.0
Residential,95604.0,44.0,16.0,1.08,83.58,2.75,16.0,4.0
Residential,17424.0,156.0,39.0,2.0,103.0,4.46,35.0,8.0
Residential,98675.0,36.0,15.0,1.07,68.07,3.27,11.0,1.0
Commercial,22634.0,27.0,13.0,1.33,31.67,2.25,12.0,3.0
Residential,50219.0,27.0,13.0,1.38,79.25,2.25,12.0,3.0
Commercial,106559.0,52.0,14.0,1.25,39.5,4.0,13.0,3.0
Commercial,79504.0,52.0,14.0,1.5,41.5,4.0,13.0,3.0
Residential,13435.0,52.0,14.0,2.0,96.5,4.0,13.0,3.0
Residential,87016.0,52.0,14.0,1.38,73.5,4.0,13.0,3.0
Residential,129851.0,51.0,14.0,1.08,70.67,3.64,14.0,2.0
Residential,159243.0,50.0,16.0,1.13,74.4,3.33,15.0,2.0
Residential,52386.0,18.0,9.0,1.0,54.11,2.0,9.0,3.0
Residential,95387.0,41.0,15.0,1.17,67.67,2.93,14.0,1.0
Residential,17912.0,62.0,23.0,2.5,81.5,3.1,20.0,8.0
Residential,60493.0,62.0,23.0,1.09,71.45,3.1,20.0,8.0
Residential,97689.0,37.0,17.0,1.1,81.6,3.7,10.0,1.0
Residential,14892.0,49.0,25.0,2.0,66.67,2.72,18.0,3.0
Residential,73940.0,49.0,25.0,1.22,74.11,2.72,18.0,3.0
Residential,105059.0,40.0,13.0,1.09,68.45,3.08,13.0,4.0
Residential,27771.0,1.0,2.0,1.0,54.0,1.0,1.0,0.0
Residential,322251.0,150.0,41.0,1.19,57.39,3.75,40.0,5.0
Residential,40150.0,17.0,8.0,2.0,67.5,2.13,8.0,7.0
Residential,139340.0,53.0,17.0,1.0,49.67,3.31,16.0,2.0
Residential,90094.0,66.0,30.0,2.0,82.43,2.54,26.0,12.0
Residential,84015.0,38.0,11.0,1.4,68.6,3.45,11.0,3.0
Residential,38527.0,21.0,7.0,1.0,68.0,3.5,6.0,3.0
Residential,46909.0,47.0,23.0,2.0,50.5,2.35,20.0,18.0
Residential,28427.0,47.0,23.0,1.0,69.75,2.35,20.0,18.0
Residential,116929.0,23.0,9.0,1.0,27.54,2.88,8.0,0.0
Residential,89843.0,13.0,6.0,1.08,59.0,2.17,6.0,1.0
Residential,58675.0,55.0,19.0,2.0,74.67,3.06,18.0,11.0
Residential,51569.0,55.0,19.0,1.33,50.5,3.06,18.0,11.0
Residential,110836.0,51.0,14.0,1.0,84.08,3.92,13.0,2.0
Residential,122025.0,47.0,14.0,1.0,85.5,3.62,13.0,1.0
Residential,130292.0,41.0,13.0,1.0,78.69,3.15,13.0,0.0
Residential,99810.0,37.0,13.0,1.0,84.92,3.08,12.0,4.0
Residential,79041.0,43.0,16.0,1.11,83.67,2.69,16.0,5.0
Residential,122381.0,40.0,13.0,1.0,87.85,3.08,13.0,0.0
Residential,26064.0,58.0,21.0,2.0,83.5,2.76,21.0,10.0
Residential,24667.0,58.0,21.0,1.17,88.0,2.76,21.0,10.0
Residential,34695.0,65.0,16.0,2.0,93.0,4.33,15.0,8.0
Residential,79584.0,65.0,16.0,1.0,76.38,4.33,15.0,8.0
Residential,83158.0,38.0,12.0,1.38,81.63,3.17,12.0,6.0
Residential,167958.0,64.0,15.0,1.14,86.0,4.27,15.0,3.0
Residential,29168.0,38.0,19.0,2.33,91.33,2.11,18.0,9.0
Residential,78209.0,38.0,19.0,1.56,65.44,2.11,18.0,9.0
Residential,23905.0,42.0,20.0,2.0,107.67,2.33,18.0,9.0
Residential,41519.0,42.0,20.0,1.13,76.63,2.33,18.0,9.0
Residential,125287.0,77.0,16.0,1.07,84.93,4.81,16.0,4.0
Residential,82471.0,23.0,6.0,1.0,72.5,3.83,6.0,0.0
Residential,120880.0,64.0,17.0,1.0,78.93,4.0,16.0,2.0
Residential,135265.0,46.0,17.0,1.0,84.69,2.71,17.0,3.0
Residential,95877.0,42.0,15.0,1.14,86.29,2.8,15.0,4.0
Residential,24967.0,57.0,26.0,2.0,81.0,2.48,23.0,11.0
Residential,94850.0,57.0,26.0,1.17,71.67,2.48,23.0,11.0
Residential,130793.0,47.0,18.0,1.0,79.47,3.13,15.0,1.0
Residential,27467.0,32.0,16.0,2.0,55.0,2.0,16.0,13.0
Residential,9356.0,27.0,11.0,1.0,85.0,2.45,11.0,9.0
Residential,58278.0,59.0,24.0,1.1,3.8,2.57,23.0,6.0
Residential,46234.0,13.0,6.0,1.0,86.57,4.33,3.0,0.0
Residential,76221.0,47.0,10.0,1.71,98.71,5.22,9.0,3.0
Residential,54004.0,32.0,13.0,1.56,92.44,2.91,11.0,6.0
Residential,68531.0,33.0,11.0,1.38,92.13,3.67,9.0,2.0
Residential,97379.0,52.0,14.0,1.0,86.78,4.73,11.0,0.0
Residential,119812.0,39.0,11.0,1.0,57.64,3.9,10.0,0.0
Residential,106864.0,80.0,23.0,1.46,94.38,4.0,20.0,13.0
Residential,84394.0,58.0,15.0,1.45,85.45,3.87,15.0,8.0
Residential,20158.0,21.0,13.0,2.0,91.0,1.75,12.0,7.0
Residential,27881.0,21.0,13.0,1.5,89.25,1.75,12.0,7.0
Residential,6202.0,56.0,18.0,1.0,0.0,3.29,17.0,3.0
Residential,86625.0,56.0,18.0,1.4,80.2,3.29,17.0,3.0
Residential,20367.0,40.0,18.0,2.0,101.5,2.5,16.0,3.0
Residential,83240.0,40.0,18.0,1.14,85.5,2.5,16.0,3.0
Residential,72945.0,38.0,13.0,1.18,77.0,3.17,12.0,1.0
Residential,7158.0,30.0,13.0,2.0,113.5,2.31,13.0,1.0
Residential,74606.0,30.0,13.0,1.36,82.36,2.31,13.0,1.0
Residential,116288.0,61.0,18.0,1.21,83.64,3.81,16.0,3.0
Commercial,20198.0,36.0,12.0,1.33,40.33,3.6,10.0,4.0
Residential,15690.0,36.0,12.0,2.0,110.5,3.6,10.0,4.0
Residential,112840.0,36.0,12.0,1.3,66.6,3.6,10.0,4.0
Residential,109945.0,38.0,18.0,1.0,66.06,2.53,15.0,2.0
Residential,72376.0,41.0,14.0,1.8,108.6,3.15,13.0,10.0
Residential,24377.0,33.0,13.0,2.0,91.0,3.0,11.0,6.0
Residential,53144.0,33.0,13.0,1.0,82.0,3.0,11.0,6.0
Residential,41990.0,22.0,15.0,1.6,97.8,2.75,8.0,3.0
Residential,73014.0,36.0,10.0,1.63,89.25,3.6,10.0,6.0
Residential,68736.0,32.0,13.0,1.13,93.38,2.46,13.0,5.0
Residential,35422.0,13.0,6.0,1.0,60.75,2.17,6.0,0.0
Residential,45308.0,27.0,11.0,1.17,91.67,2.7,10.0,3.0
Residential,95516.0,37.0,15.0,1.13,43.56,2.64,14.0,4.0
Residential,51932.0,31.0,15.0,1.5,94.25,2.21,14.0,5.0
Residential,30831.0,66.0,17.0,1.5,89.5,4.71,14.0,5.0
Residential,93874.0,26.0,8.0,1.13,71.75,3.25,8.0,0.0
Residential,124884.0,66.0,17.0,1.14,85.71,4.71,14.0,5.0
Residential,136522.0,50.0,14.0,1.29,72.86,3.57,14.0,5.0
Residential,117394.0,65.0,24.0,1.38,76.62,3.1,21.0,10.0
Residential,38576.0,38.0,21.0,2.0,83.0,2.38,16.0,7.0
Residential,86087.0,38.0,21.0,1.18,88.27,2.38,16.0,7.0
Residential,72916.0,45.0,18.0,1.17,93.67,2.81,16.0,5.0
Residential,47719.0,56.0,20.0,2.33,91.67,2.95,19.0,4.0
Residential,118117.0,56.0,20.0,1.0,92.83,2.95,19.0,4.0
Residential,179470.0,62.0,17.0,1.0,82.29,3.65,17.0,4.0
Residential,2583.0,55.0,20.0,2.0,67.0,3.06,18.0,6.0
Residential,83747.0,55.0,20.0,1.0,90.78,3.06,18.0,6.0
Residential,51792.0,20.0,13.0,1.13,88.75,2.5,8.0,3.0
Residential,48774.0,20.0,7.0,1.83,64.0,2.86,7.0,2.0
Residential,46103.0,10.0,5.0,1.5,85.0,2.5,4.0,2.0
Residential,48064.0,24.0,5.0,1.0,47.4,4.8,5.0,1.0
Residential,53838.0,25.0,9.0,1.0,24.25,3.13,8.0,1.0
Residential,120156.0,37.0,16.0,1.56,58.44,2.47,15.0,3.0
Residential,64042.0,36.0,23.0,1.36,79.91,2.25,16.0,7.0
Residential,62797.0,27.0,9.0,1.22,36.22,3.0,9.0,0.0
Residential,22779.0,14.0,7.0,1.5,61.75,2.0,7.0,0.0
Residential,23316.0,8.0,5.0,1.0,56.5,1.6,5.0,0.0
Residential,61078.0,31.0,11.0,1.0,80.82,2.82,11.0,1.0
Residential,61322.0,15.0,9.0,1.25,72.0,2.14,7.0,1.0
Residential,94852.0,47.0,13.0,1.2,90.5,3.62,13.0,4.0
Residential,26131.0,74.0,21.0,2.0,102.0,3.7,20.0,12.0
Residential,119237.0,74.0,21.0,1.42,85.58,3.7,20.0,12.0
Residential,153031.0,68.0,19.0,1.0,84.2,3.58,19.0,7.0
Residential,77986.0,36.0,13.0,1.42,64.5,2.77,13.0,3.0
Residential,103360.0,41.0,15.0,1.93,64.57,2.93,14.0,4.0
Residential,99540.0,39.0,14.0,1.25,75.0,2.79,14.0,6.0
Residential,96365.0,44.0,13.0,1.11,64.67,4.0,11.0,3.0
Residential,117406.0,56.0,16.0,1.29,72.29,4.0,14.0,2.0
Residential,68018.0,28.0,15.0,1.55,62.0,2.8,10.0,2.0
Residential,43591.0,46.0,25.0,1.67,71.67,1.92,24.0,8.0
Residential,114718.0,46.0,25.0,1.44,78.94,1.92,24.0,8.0
Residential,90945.0,35.0,17.0,1.08,68.42,2.33,15.0,5.0
Residential,82824.0,32.0,11.0,1.33,69.0,3.2,10.0,1.0
Residential,81736.0,38.0,13.0,1.11,49.56,3.17,12.0,1.0
Residential,92843.0,71.0,24.0,1.89,72.89,3.23,22.0,9.0
Residential,28779.0,71.0,24.0,1.17,80.83,3.23,22.0,9.0
Residential,109422.0,68.0,23.0,1.07,60.57,3.58,19.0,5.0
Residential,60031.0,32.0,11.0,1.0,51.56,2.91,11.0,4.0
Residential,29241.0,42.0,13.0,1.0,43.8,3.82,11.0,6.0
Residential,141085.0,61.0,22.0,1.11,57.0,3.05,20.0,3.0
Residential,68725.0,25.0,10.0,1.0,48.33,2.5,10.0,0.0
Residential,67614.0,25.0,8.0,1.38,63.75,3.13,8.0,1.0
Residential,46262.0,33.0,9.0,1.5,84.33,3.67,9.0,2.0
Residential,38633.0,27.0,9.0,2.0,124.75,3.0,9.0,2.0
Residential,58627.0,27.0,9.0,1.29,78.14,3.0,9.0,2.0
Residential,18334.0,18.0,9.0,2.0,108.5,2.57,7.0,1.0
Residential,43270.0,18.0,9.0,1.2,87.4,2.57,7.0,1.0
Residential,24110.0,18.0,6.0,1.0,56.5,3.6,5.0,1.0
Residential,53004.0,24.0,9.0,1.29,77.14,2.67,9.0,2.0
Residential,30772.0,68.0,25.0,2.0,105.25,3.24,21.0,6.0
Residential,109952.0,68.0,25.0,1.33,90.67,3.24,21.0,6.0
Residential,90750.0,38.0,21.0,1.5,86.8,2.71,14.0,3.0
Residential,119959.0,30.0,15.0,1.2,65.73,2.0,15.0,0.0
Residential,112061.0,50.0,20.0,1.15,72.92,2.94,17.0,6.0
Residential,136116.0,57.0,21.0,1.36,85.93,3.35,17.0,4.0
Residential,127272.0,50.0,21.0,1.06,59.28,2.78,18.0,2.0
Residential,93863.0,69.0,23.0,1.06,60.06,3.29,21.0,5.0
Residential,114358.0,63.0,18.0,1.23,79.92,3.94,16.0,6.0
Residential,104743.0,42.0,17.0,1.4,86.3,3.23,13.0,5.0
Residential,40672.0,35.0,14.0,1.13,74.0,2.92,12.0,4.0
Residential,56908.0,76.0,21.0,1.67,106.0,3.8,20.0,6.0
Residential,82190.0,76.0,21.0,1.58,94.17,3.8,20.0,6.0
Residential,37547.0,34.0,13.0,2.0,119.75,2.62,13.0,6.0
Residential,55028.0,34.0,13.0,1.2,49.6,2.62,13.0,6.0
Residential,83769.0,37.0,12.0,1.0,43.18,3.08,12.0,2.0
Residential,63240.0,33.0,15.0,1.0,75.1,2.75,12.0,4.0
Residential,63686.0,31.0,14.0,1.15,55.62,2.21,14.0,2.0
Residential,134335.0,63.0,19.0,1.39,66.33,3.5,18.0,5.0
Residential,136024.0,52.0,19.0,1.0,78.22,2.89,18.0,3.0
Residential,194985.0,64.0,21.0,1.21,65.05,3.05,21.0,2.0
Residential,47096.0,22.0,7.0,1.14,66.43,3.14,7.0,0.0
Residential,19987.0,27.0,11.0,2.0,87.0,2.7,10.0,4.0
Residential,14734.0,27.0,11.0,1.0,58.0,2.7,10.0,4.0
Residential,76746.0,30.0,10.0,1.13,53.13,3.0,10.0,4.0
Residential,59652.0,25.0,9.0,1.0,54.29,3.57,7.0,1.0
Residential,56919.0,23.0,8.0,1.13,52.13,3.29,7.0,1.0
Residential,102947.0,40.0,18.0,1.33,57.33,2.67,15.0,2.0
Residential,64217.0,44.0,10.0,1.0,78.43,4.4,10.0,0.0
Commercial,501526.0,43.0,16.0,1.0,16.0,4.3,10.0,2.0
Residential,152026.0,43.0,16.0,1.05,50.58,4.3,10.0,2.0
Residential,55293.0,35.0,10.0,1.13,54.38,3.5,10.0,2.0
Residential,77892.0,34.0,11.0,1.0,47.9,3.09,11.0,1.0
Residential,66774.0,39.0,14.0,1.0,46.73,2.79,14.0,2.0
Commercial,20302.0,113.0,37.0,2.0,86.5,4.19,27.0,11.0
Residential,15530.0,8.0,4.0,2.0,2.0,2.0,4.0,1.0
Residential,44094.0,8.0,4.0,1.4,2.0,2.0,4.0,1.0
Residential,23689.0,125.0,34.0,2.0,106.0,3.79,33.0,15.0
Residential,42603.0,113.0,41.0,2.25,88.0,3.53,32.0,16.0
Residential,113879.0,113.0,41.0,1.07,87.87,3.53,32.0,16.0
Residential,50580.0,46.0,11.0,2.0,110.0,4.6,10.0,6.0
Residential,21248.0,46.0,11.0,1.0,99.33,4.6,10.0,6.0
Residential,30204.0,50.0,19.0,2.5,82.5,2.94,17.0,10.0
Residential,35949.0,50.0,19.0,1.0,51.0,2.94,17.0,10.0
Residential,38399.0,45.0,14.0,1.33,76.17,3.21,14.0,5.0
Residential,26265.0,82.0,27.0,1.75,89.75,3.42,24.0,6.0
Residential,144672.0,82.0,27.0,1.13,77.4,3.42,24.0,6.0
Residential,158113.0,125.0,34.0,1.17,80.22,3.79,33.0,15.0
Residential,201966.0,156.0,39.0,1.0,85.17,4.46,35.0,8.0
Residential,32404.0,119.0,33.0,2.0,90.0,3.84,31.0,10.0
Residential,166620.0,119.0,33.0,1.19,80.31,3.84,31.0,10.0
Residential,52085.0,103.0,31.0,1.67,62.33,3.43,30.0,15.0
Residential,124166.0,103.0,31.0,1.13,96.38,3.43,30.0,15.0
Residential,58818.0,33.0,10.0,1.33,68.67,3.3,10.0,3.0
Residential,13618.0,68.0,19.0,1.0,44.0,3.58,19.0,0.0
Residential,138039.0,68.0,19.0,1.06,56.12,3.58,19.0,0.0
Residential,10790.0,84.0,25.0,2.0,86.0,3.5,24.0,3.0
Residential,27671.0,18.0,8.0,1.67,58.0,2.25,8.0,0.0
Residential,168772.0,84.0,25.0,1.18,68.18,3.5,24.0,3.0
Residential,39010.0,16.0,8.0,1.0,74.67,2.67,6.0,1.0
Residential,40587.0,86.0,24.0,1.67,61.33,4.1,21.0,6.0
Residential,130669.0,86.0,24.0,1.0,80.27,4.1,21.0,6.0
Residential,170240.0,66.0,26.0,1.06,61.88,2.75,24.0,7.0
Residential,146488.0,55.0,18.0,1.06,84.13,3.24,17.0,1.0
Residential,145901.0,78.0,28.0,1.0,81.65,2.89,27.0,7.0
Commercial,330235.0,64.0,23.0,1.33,74.33,4.0,16.0,15.0
Residential,85694.0,64.0,23.0,2.67,88.67,4.0,16.0,15.0
Residential,45973.0,113.0,37.0,2.0,91.25,4.19,27.0,11.0
Residential,177508.0,82.0,23.0,1.28,84.5,3.9,21.0,3.0
Residential,46304.0,100.0,38.0,2.0,82.8,2.7,37.0,11.0
Residential,122742.0,100.0,38.0,1.06,55.12,2.7,37.0,11.0
Residential,55329.0,40.0,13.0,1.25,57.25,3.64,11.0,4.0
Residential,193564.0,124.0,51.0,2.0,80.94,3.1,40.0,29.0
Residential,16713.0,124.0,51.0,1.0,86.33,3.1,40.0,29.0
Residential,163735.0,94.0,48.0,2.0,86.56,2.69,35.0,22.0
Residential,60108.0,117.0,35.0,1.8,72.6,3.44,34.0,21.0
Residential,150999.0,117.0,35.0,1.27,85.6,3.44,34.0,21.0
Residential,27888.0,81.0,27.0,2.0,87.5,3.24,25.0,4.0
Residential,136893.0,81.0,27.0,1.21,75.84,3.24,25.0,4.0
Residential,20842.0,65.0,31.0,1.0,67.0,2.83,23.0,16.0
Residential,15968.0,44.0,21.0,2.0,94.33,2.1,21.0,17.0
Residential,15328.0,44.0,21.0,1.33,81.0,2.1,21.0,17.0
Residential,65524.0,30.0,10.0,1.5,45.5,3.75,8.0,6.0
Residential,23257.0,30.0,10.0,1.0,49.0,3.75,8.0,6.0
Residential,32277.0,95.0,28.0,2.0,86.0,3.52,27.0,11.0
Residential,198827.0,95.0,28.0,1.15,85.5,3.52,27.0,11.0
Commercial,418651.0,99.0,43.0,1.29,63.71,2.75,36.0,15.0
Residential,86394.0,99.0,43.0,1.9,72.8,2.75,36.0,15.0
Residential,101202.0,99.0,43.0,1.08,71.31,2.75,36.0,15.0
Commercial,103773.0,100.0,39.0,1.0,81.0,3.85,26.0,7.0
Residential,26551.0,100.0,39.0,1.5,40.0,3.85,26.0,7.0
Residential,181720.0,100.0,39.0,1.0,85.45,3.85,26.0,7.0
Residential,108151.0,113.0,37.0,1.0,85.14,4.19,27.0,11.0
Commercial,382444.0,43.0,26.0,1.4,49.6,2.26,19.0,19.0
Residential,118543.0,43.0,26.0,2.0,44.75,2.26,19.0,19.0
Residential,84040.0,61.0,25.0,2.33,2.0,3.05,20.0,2.0
Residential,111610.0,79.0,27.0,3.0,2.0,3.16,25.0,2.0
Residential,16488.0,12.0,5.0,1.0,2.0,2.4,5.0,1.0
Residential,168636.0,38.0,19.0,2.0,83.0,2.38,16.0,10.0
Residential,78752.0,47.0,16.0,1.0,2.0,3.36,14.0,6.0
Residential,97350.0,47.0,16.0,1.55,6.55,3.36,14.0,6.0
Residential,21287.0,30.0,6.0,2.0,2.0,5.0,6.0,0.0
Residential,34582.0,30.0,6.0,2.0,2.0,5.0,6.0,0.0
Residential,36466.0,55.0,28.0,1.25,22.0,2.89,19.0,5.0
Residential,65090.0,61.0,13.0,1.5,79.67,5.55,11.0,3.0
Residential,49820.0,43.0,14.0,2.0,73.0,3.58,12.0,6.0
Residential,32217.0,43.0,14.0,1.0,77.0,3.58,12.0,6.0
Residential,524102.0,221.0,81.0,2.0,83.0,3.2,69.0,49.0
Residential,58394.0,39.0,18.0,2.0,60.8,2.29,17.0,12.0
Residential,10577.0,39.0,18.0,1.5,69.0,2.29,17.0,12.0
Commercial,24996.0,51.0,17.0,1.5,70.0,3.19,16.0,13.0
Residential,41257.0,51.0,17.0,1.0,84.0,3.19,16.0,13.0
Residential,98618.0,90.0,30.0,2.0,80.14,3.1,29.0,16.0
Residential,93855.0,90.0,30.0,1.0,87.5,3.1,29.0,16.0
Residential,32310.0,107.0,27.0,2.0,81.0,4.12,26.0,8.0
Residential,128285.0,107.0,27.0,1.12,83.94,4.12,26.0,8.0
Residential,63048.0,80.0,27.0,1.75,75.0,3.33,24.0,10.0
Residential,116147.0,80.0,27.0,1.23,82.54,3.33,24.0,10.0
Residential,19313.0,93.0,24.0,2.0,64.5,3.88,24.0,7.0
Residential,167698.0,93.0,24.0,1.0,86.0,3.88,24.0,7.0
Residential,153503.0,105.0,22.0,1.11,85.42,4.77,22.0,1.0
Residential,51834.0,87.0,27.0,2.0,77.6,3.48,25.0,14.0
Residential,114593.0,87.0,27.0,1.14,86.57,3.48,25.0,14.0
Residential,144404.0,85.0,18.0,1.07,83.21,5.0,17.0,6.0
Residential,25422.0,61.0,20.0,2.0,85.0,3.39,18.0,6.0
Residential,90298.0,61.0,20.0,1.09,85.82,3.39,18.0,6.0
Residential,25106.0,73.0,18.0,1.0,38.5,4.06,18.0,7.0
Residential,100575.0,73.0,18.0,1.27,86.73,4.06,18.0,7.0
Residential,14335.0,64.0,22.0,1.5,68.5,3.05,21.0,10.0
Residential,73014.0,64.0,22.0,1.09,85.09,3.05,21.0,10.0
Residential,124252.0,48.0,15.0,1.0,85.27,3.2,15.0,4.0
Residential,132286.0,73.0,19.0,1.07,82.0,3.84,19.0,5.0
Residential,50078.0,67.0,27.0,2.0,86.5,2.91,23.0,8.0
Residential,105160.0,67.0,27.0,1.22,77.78,2.91,23.0,8.0
Residential,104826.0,41.0,15.0,1.0,84.0,2.93,14.0,1.0
Residential,106587.0,66.0,32.0,2.0,82.36,2.64,25.0,20.0
Residential,22766.0,66.0,32.0,1.67,40.67,2.64,25.0,20.0
Residential,141387.0,71.0,32.0,2.0,83.0,2.37,30.0,18.0
Residential,28107.0,71.0,32.0,1.67,57.33,2.37,30.0,18.0
Residential,170860.0,92.0,35.0,2.0,84.0,2.97,31.0,16.0
Residential,32281.0,92.0,35.0,1.67,57.0,2.97,31.0,16.0
Residential,141820.0,96.0,30.0,2.0,84.0,3.56,27.0,19.0
Residential,20543.0,96.0,30.0,1.67,57.0,3.56,27.0,19.0
Commercial,12544.0,51.0,23.0,1.0,41.5,2.68,19.0,17.0
Commercial,22004.0,51.0,23.0,2.0,40.5,2.68,19.0,17.0
Commercial,92971.0,27.0,15.0,1.67,66.0,2.08,13.0,12.0
Residential,16882.0,27.0,15.0,1.5,42.5,2.08,13.0,12.0
Commercial,65382.0,38.0,15.0,1.5,65.0,2.53,15.0,14.0
Residential,90994.0,93.0,42.0,1.75,64.5,2.91,32.0,16.0
Residential,129516.0,93.0,42.0,1.45,86.09,2.91,32.0,16.0
Residential,101616.0,128.0,45.0,1.89,75.11,3.37,38.0,22.0
Residential,116646.0,128.0,45.0,1.33,81.89,3.37,38.0,22.0
Residential,175921.0,124.0,52.0,2.0,84.0,2.95,42.0,24.0
Residential,173773.0,121.0,56.0,2.0,83.82,2.95,41.0,32.0
Residential,270559.0,148.0,52.0,2.0,83.0,3.02,49.0,34.0
Residential,191362.0,102.0,47.0,2.0,83.0,2.91,35.0,28.0
Commercial,16815.0,101.0,52.0,2.0,83.0,2.66,38.0,31.0
Residential,159564.0,101.0,52.0,2.0,83.0,2.66,38.0,31.0
Residential,271533.0,125.0,51.0,2.0,83.0,2.84,44.0,31.0
Residential,219778.0,123.0,53.0,2.0,83.8,3.08,40.0,29.0
Residential,233916.0,126.0,55.0,2.0,84.0,3.32,38.0,20.0
Residential,134775.0,113.0,34.0,2.0,84.0,3.77,30.0,21.0
Residential,158851.0,100.0,34.0,2.0,84.0,3.45,29.0,19.0
Residential,20320.0,100.0,34.0,2.0,58.0,3.45,29.0,19.0
Residential,114451.0,87.0,39.0,2.0,83.0,2.64,33.0,18.0
Residential,18420.0,87.0,39.0,1.67,58.33,2.64,33.0,18.0
Residential,117921.0,72.0,30.0,2.0,83.0,2.57,28.0,17.0
Residential,24479.0,72.0,30.0,1.67,57.0,2.57,28.0,17.0
Residential,157904.0,90.0,40.0,2.0,82.0,2.57,35.0,22.0
Residential,156179.0,82.0,37.0,2.0,75.17,2.93,28.0,14.0
Commercial,11871.0,87.0,35.0,2.0,82.0,3.11,28.0,17.0
Residential,127976.0,87.0,35.0,2.0,82.0,3.11,28.0,17.0
Residential,194120.0,91.0,34.0,2.0,82.0,2.84,32.0,22.0
Residential,170114.0,95.0,41.0,2.0,83.0,2.79,34.0,25.0
Residential,388879.0,210.0,70.0,2.0,85.0,3.18,66.0,44.0
Residential,142190.0,64.0,33.0,1.92,77.42,2.46,26.0,17.0
Residential,141961.0,87.0,32.0,2.0,83.79,2.81,31.0,24.0
Residential,153716.0,82.0,32.0,2.0,88.15,2.73,30.0,17.0
Residential,192011.0,68.0,31.0,2.0,88.0,2.43,28.0,17.0
Residential,151999.0,66.0,32.0,2.0,84.0,2.54,26.0,15.0
Residential,133929.0,86.0,36.0,2.0,85.0,2.61,33.0,18.0
Residential,164339.0,75.0,36.0,2.0,85.07,2.42,31.0,22.0
Residential,131425.0,57.0,34.0,2.0,84.87,2.04,28.0,16.0
Residential,171324.0,102.0,38.0,2.0,85.0,2.91,35.0,26.0
Residential,36209.0,55.0,11.0,2.0,91.0,5.0,11.0,4.0
Residential,135198.0,34.0,15.0,1.0,87.27,4.25,8.0,3.0
Residential,128495.0,28.0,9.0,1.0,89.92,3.5,8.0,3.0
Residential,113909.0,28.0,10.0,1.0,87.21,2.8,10.0,1.0
Residential,141895.0,50.0,10.0,1.33,89.42,5.56,9.0,1.0
Residential,86789.0,62.0,23.0,2.0,85.0,3.26,19.0,11.0
Residential,104794.0,39.0,16.0,2.0,87.88,2.6,15.0,9.0
Residential,12376.0,39.0,16.0,1.5,85.0,2.6,15.0,9.0
Residential,97801.0,48.0,10.0,1.0,89.8,5.33,9.0,0.0
Residential,108305.0,34.0,11.0,1.1,90.0,3.09,11.0,2.0
Residential,57749.0,41.0,13.0,1.25,95.0,3.42,12.0,0.0
Residential,113395.0,50.0,25.0,2.0,91.0,2.08,24.0,17.0
Residential,74322.0,49.0,23.0,2.0,85.0,2.88,17.0,10.0
Residential,106521.0,60.0,24.0,1.58,73.92,4.0,15.0,4.0
Residential,67586.0,90.0,22.0,1.8,87.8,4.09,22.0,12.0
Residential,105112.0,90.0,22.0,1.29,74.71,4.09,22.0,12.0
Residential,121763.0,47.0,23.0,2.0,90.78,2.47,19.0,10.0
Residential,43277.0,47.0,23.0,1.2,88.6,2.47,19.0,10.0
Residential,142966.0,38.0,11.0,1.0,88.71,3.45,11.0,2.0
Residential,120488.0,43.0,11.0,1.0,86.77,4.3,10.0,3.0
Residential,121240.0,32.0,10.0,1.31,91.23,3.2,10.0,1.0
Commercial,31283.0,17.0,3.0,1.0,54.5,5.67,3.0,0.0
Commercial,57091.0,38.0,15.0,3.0,85.0,2.92,13.0,4.0
Commercial,199995.0,16.0,5.0,1.33,45.0,3.2,5.0,1.0
Commercial,16995.0,22.0,7.0,1.0,0.0,3.67,6.0,4.0
Residential,238186.0,104.0,47.0,2.0,84.78,2.6,40.0,24.0
Commercial,6962.0,112.0,47.0,2.0,85.0,3.39,33.0,23.0
Residential,167435.0,112.0,47.0,2.0,85.0,3.39,33.0,23.0
Residential,210023.0,124.0,43.0,2.0,85.0,3.26,38.0,21.0
Residential,188140.0,100.0,49.0,2.0,85.0,2.56,39.0,29.0
Residential,191662.0,102.0,50.0,2.0,86.0,2.49,41.0,26.0
Residential,176500.0,117.0,47.0,2.0,85.74,2.72,43.0,29.0
Residential,163293.0,93.0,32.0,2.0,86.0,3.21,29.0,18.0
Residential,20610.0,93.0,32.0,1.0,57.5,3.21,29.0,18.0
Residential,80472.0,81.0,32.0,2.0,86.0,3.12,26.0,16.0
Residential,9546.0,81.0,32.0,1.0,59.5,3.12,26.0,16.0
Residential,194421.0,88.0,30.0,2.0,87.83,3.14,28.0,14.0
Residential,24441.0,88.0,30.0,1.0,59.0,3.14,28.0,14.0
Residential,106366.0,77.0,31.0,2.0,87.0,3.08,25.0,14.0
Residential,199446.0,87.0,37.0,2.0,82.0,2.9,30.0,12.0
Residential,125885.0,97.0,36.0,2.0,86.0,2.94,33.0,22.0
Residential,30066.0,97.0,36.0,2.0,57.5,2.94,33.0,22.0
