Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination
 Classical ,eisaaaa,HAMID449,1-0,2016.06.30,22:00:01,1901,1896,11.0,-11.0,D10,Slav Defense,300+5,Time forfeit
 Blitz ,go4jas,Sergei1973,0-1,2016.06.30,22:00:01,1641,1627,-11.0,12.0,C20,King's Pawn Opening: 2.b3,300+0,Normal
 Blitz tournament ,Evangelistaizac,kafune,1-0,2016.06.30,22:00:02,1647,1688,13.0,-13.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit
 Correspondence ,Jvayne,Wsjvayne,1-0,2016.06.30,22:00:02,1706,1317,27.0,-25.0,A00,Van't Kruijs Opening,-,Normal
 Blitz tournament ,kyoday,BrettDale,0-1,2016.06.30,22:00:02,1945,1900,-14.0,13.0,B90,"Sicilian Defense: Najdorf, Lipnitsky Attack",180+0,Time forfeit
 Blitz tournament ,lucaseixasouza,diguim,0-1,2016.06.30,22:00:02,1773,1809,-10.0,10.0,C27,Vienna Game,180+0,Normal
 Blitz tournament ,RENZZO77,HeadlessChicken,0-1,2016.06.30,22:00:02,1895,1886,-12.0,12.0,B10,Caro-Kann Defense: Two Knights Attack,180+0,Time forfeit
 Blitz tournament ,ipero,Bayern123,1-0,2016.06.30,22:00:02,2155,2356,20.0,-20.0,D02,Queen's Pawn Game: London System,180+0,Normal
 Blitz tournament ,Loginov19510410,Kereshu,0-1,2016.06.30,22:00:02,2010,2111,-9.0,9.0,A45,Indian Game,300+0,Normal
 Blitz tournament ,Shambobala,cernunnoss,1-0,2016.06.30,22:00:02,1764,1773,12.0,-12.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit
 Classical ,DARDELU,chess4life54,0-1,2016.06.30,22:00:01,1649,1638,-13.0,11.0,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line",900+3,Normal
 Classical ,fabikim,sereno,1-0,2016.06.30,22:00:02,1630,1500,7.0,-7.0,C41,Philidor Defense #3,420+5,Normal
 Blitz tournament ,IZDenisZI,BoBo93,1-0,2016.06.30,22:00:02,1833,1837,11.0,-12.0,C36,"King's Gambit Accepted, Modern Defense",300+0,Normal
 Blitz tournament ,lasha-fero,ildivinojohnny,1-0,2016.06.30,22:00:02,2020,1979,10.0,-11.0,A00,Polish Opening,180+0,Time forfeit
 Blitz tournament ,arkadyNa,sofianet06,0-1,2016.06.30,22:00:02,1581,1616,-12.0,11.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,180+0,Time forfeit
 Blitz tournament ,mayconchess,trend19,0-1,2016.06.30,22:00:02,1879,1868,-13.0,12.0,B01,Scandinavian Defense: Main Line,180+0,Normal
 Blitz tournament ,lj1983,plmnnnn,1-0,2016.06.30,22:00:02,1963,1979,12.0,-13.0,B10,Caro-Kann Defense: Two Knights Attack,180+0,Normal
 Blitz tournament ,Inorem,leymoral,1-0,2016.06.30,22:00:02,1751,1712,10.0,-10.0,C62,Ruy Lopez: Steinitz Defense,180+0,Normal
 Blitz tournament ,Torres2300,Trabelsi-Wajdi,0-1,2016.06.30,22:00:02,1795,1800,-14.0,11.0,B32,Sicilian Defense: Franco-Sicilian Variation,300+0,Normal
 Blitz tournament ,Igor76,dancg,1-0,2016.06.30,22:00:02,1913,1925,11.0,-13.0,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack",300+0,Normal
 Blitz tournament ,yoyoparker,philastro110,1-0,2016.06.30,22:00:02,1707,1739,13.0,-12.0,B01,Scandinavian Defense,300+0,Normal
 Blitz tournament ,Axel15l,cavaleirobranco,1/2-1/2,2016.06.30,22:00:02,1512,1570,6.0,-2.0,C62,Ruy Lopez: Steinitz Defense,300+0,Normal
 Blitz tournament ,Andique,machiine,1-0,2016.06.30,22:00:02,1816,1815,11.0,-10.0,B41,"Sicilian Defense: Kan Variation, Maroczy Bind, Reti Variation",300+0,Normal
 Classical tournament ,DORLISS,Ar1551,0-1,2016.06.30,22:00:02,1891,1930,-11.0,13.0,C78,"Ruy Lopez: Morphy Defense, Arkhangelsk Variation",600+0,Time forfeit
 Classical tournament ,chessmaster7,ComaLaDama,0-1,2016.06.30,22:00:02,1747,1731,-13.0,19.0,C46,Three Knights Opening #2,600+0,Normal
 Bullet tournament ,fay13011,Whitekid2000,1-0,2016.06.30,22:00:02,1682,1739,14.0,-19.0,B07,Pirc Defense #4,60+0,Time forfeit
 Bullet tournament ,sztachalom,MrKit,0-1,2016.06.30,22:00:02,2149,2047,-15.0,16.0,B07,Pirc Defense,60+0,Normal
 Blitz tournament ,memellow,bogazmuhammet,1-0,2016.06.30,22:00:02,1604,1604,11.0,-13.0,C00,French Defense: Knight Variation,300+0,Time forfeit
 Bullet tournament ,Pablo_M,Scala,1-0,2016.06.30,22:00:02,1619,1540,9.0,-9.0,B01,Scandinavian Defense,60+0,Normal
 Classical tournament ,avances123,sakilaharshad,1-0,2016.06.30,22:00:02,1624,1614,11.0,-16.0,C42,Russian Game: Classical Attack,600+0,Normal
 Bullet tournament ,Joaozinho,poopyhead,0-1,2016.06.30,22:00:02,1881,1861,-14.0,29.0,B32,Sicilian Defense: Open #3,60+0,Time forfeit
 Blitz tournament ,TheDPmaster,Supercerebraco,0-1,2016.06.30,22:00:02,1753,1744,-59.0,10.0,B02,Alekhine Defense: Scandinavian Variation,300+0,Normal
 Blitz tournament ,Ramonoide,NeRi,0-1,2016.06.30,22:00:02,1839,1852,-11.0,12.0,C00,French Defense: Chigorin Variation,300+0,Normal
 Classical tournament ,noob747,AlexandreIII,1-0,2016.06.30,22:00:02,1408,1405,14.0,-12.0,C00,French Defense: Normal Variation,600+0,Normal
 Blitz tournament ,wesley1729,tolia,0-1,2016.06.30,22:00:02,1876,1897,-11.0,10.0,C64,Ruy Lopez: Classical Variation,300+0,Normal
 Blitz tournament ,sznorby87,gpoly,1-0,2016.06.30,22:00:02,1412,1488,18.0,-17.0,B00,King's Pawn,300+0,Abandoned
 Bullet tournament ,SlipknotSoaD,fight27,0-1,2016.06.30,22:00:02,1886,1928,-10.0,10.0,B07,Pirc Defense: Roscher Gambit,60+0,Time forfeit
 Bullet tournament ,wqweto,Archer_reborn,0-1,2016.06.30,22:00:02,1376,1419,-13.0,10.0,A40,Horwitz Defense,60+0,Time forfeit
 Bullet tournament ,enigmahack,ChecksMix,1-0,2016.06.30,22:00:02,1767,1748,10.0,-12.0,B40,Sicilian Defense: French Variation,60+0,Time forfeit
 Classical tournament ,TonoyanRob7,bronze_dragon,1-0,2016.06.30,22:00:02,2215,2072,7.0,-7.0,C17,"French Defense: Winawer Variation, Advance Variation",600+0,Normal
 Classical tournament ,whitty1973,DonQyf,1-0,2016.06.30,22:00:02,1580,1571,12.0,-14.0,D02,Queen's Pawn Game: Zukertort Variation,600+0,Normal
 Classical tournament ,Edprenton,Firdaus_edo,0-1,2016.06.30,22:00:02,1787,1842,-26.0,11.0,A30,English Opening: Symmetrical Variation,600+0,Normal
 Blitz tournament ,Scop,eruditbattle_ru,1-0,2016.06.30,22:00:02,1939,1965,11.0,-12.0,B40,"Sicilian Defense: French Variation, Normal",300+0,Time forfeit
 Blitz tournament ,Tot27,EnioAugusto,1-0,2016.06.30,22:00:02,1479,1512,17.0,-11.0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",300+0,Normal
 Classical tournament ,BOBFICHER1981,samad_110,0-1,2016.06.30,22:00:02,2053,2056,-12.0,16.0,D00,Queen's Pawn Game: Chigorin Variation,600+0,Normal
 Classical tournament ,lelouch_V,Vunjak,1-0,2016.06.30,22:00:02,1868,1861,11.0,-11.0,C46,Three Knights Opening,600+0,Normal
 Classical tournament ,omarassaad1,kendawy,1-0,2016.06.30,22:00:02,1454,1533,25.0,-15.0,B00,King's Pawn,600+0,Abandoned
 Bullet tournament ,hurvajsmanka,Spyandy,0-1,2016.06.30,22:00:02,1780,1789,-10.0,12.0,A00,Polish Opening: Dutch Defense,60+0,Normal
 Classical tournament ,friodorovic,vanz123,1-0,2016.06.30,22:00:02,1734,1770,13.0,-13.0,A20,English Opening: King's English Variation,600+0,Normal
 Blitz tournament ,Marcello2015,Pervach,0-1,2016.06.30,22:00:02,1789,1790,-11.0,11.0,C00,French Defense: Knight Variation,300+0,Normal
 Classical tournament ,faiko102,sergei79,0-1,2016.06.30,22:00:02,1683,1669,-13.0,12.0,A41,Queen's Pawn,600+0,Normal
 Classical tournament ,attn,ANUCORSARIO,0-1,2016.06.30,22:00:02,1693,1724,-10.0,17.0,A00,Saragossa Opening,600+0,Normal
 Bullet tournament ,mistrzdzow,Nourmaz,0-1,2016.06.30,22:00:02,1847,1852,-12.0,12.0,B06,Modern Defense,60+0,Time forfeit
 Classical tournament ,delsonimuka,jandy,0-1,2016.06.30,22:00:02,1332,1392,-12.0,9.0,B07,King's Pawn Game: Maroczy Defense,600+0,Normal
 Blitz tournament ,MiKoS89,Cian,1/2-1/2,2016.06.30,22:00:02,1465,1436,-1.0,1.0,C45,"Scotch Game: Scotch Gambit, Kingside Variation",300+0,Normal
 Classical tournament ,arjan1967,teo77,0-1,2016.06.30,22:00:02,1787,1779,-12.0,12.0,D00,Queen's Pawn Game: Stonewall Attack,600+0,Normal
 Blitz tournament ,chm00002,jan666,1-0,2016.06.30,22:00:02,1761,1754,12.0,-12.0,C30,"King's Gambit Declined, Queen's Knight Defense",180+0,Time forfeit
 Blitz tournament ,Damianlamy,BaderBombs,1-0,2016.06.30,22:00:02,2134,2128,12.0,-11.0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation",300+0,Normal
 Bullet tournament ,jjj333,aldoelapache,1-0,2016.06.30,22:00:02,1964,1970,11.0,-12.0,B00,Owen Defense,60+0,Time forfeit
 Classical ,dvs15lsa,xrap35,1-0,2016.06.30,22:00:03,1635,1572,9.0,-10.0,C54,"Italian Game: Classical Variation, Greco Gambit, Traditional Line",300+8,Normal
 Blitz ,kaukcz,narfito,1-0,2016.06.30,22:00:03,1287,1223,9.0,-19.0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",240+3,Normal
 Classical tournament ,darmes,damian816,1-0,2016.06.30,22:00:02,1563,1553,12.0,-11.0,C22,Center Game: Paulsen Attack Variation,600+0,Normal
 Classical tournament ,laremonde,mikedeanbarlow,0-1,2016.06.30,22:00:02,1948,2033,-9.0,10.0,B53,Sicilian Defense: Chekhover Variation,600+0,Normal
 Blitz ,tb,FernandoED,0-1,2016.06.30,22:00:03,1578,1576,-11.0,11.0,A00,Van't Kruijs Opening,300+0,Normal
 Classical ,Yose_Luiz,rafaelvega,0-1,2016.06.30,22:00:04,1547,1618,-9.0,9.0,C46,Four Knights Game: Italian Variation,1200+1,Normal
 Blitz ,slava1987i,zazpiak_1,0-1,2016.06.30,22:00:05,1841,1795,-12.0,12.0,C41,Philidor Defense #2,180+0,Normal
 Bullet ,LarsBrobakken,Domcef,1-0,2016.06.30,22:00:05,1959,1690,4.0,-4.0,D78,"Neo-Gruenfeld Defense: Classical Variation, Original Defense",60+1,Normal
 Blitz tournament ,remchene,skeith73,1-0,2016.06.30,22:00:05,1894,1655,4.0,-5.0,B12,"Caro-Kann Defense: Advance Variation, Short Variation",300+0,Normal
 Blitz tournament ,dpco,yisus007,1-0,2016.06.30,22:00:05,1782,1517,4.0,-5.0,A45,Indian Game,180+0,Time forfeit
 Blitz tournament ,otger,gmvladimir,0-1,2016.06.30,22:00:02,1515,1540,-11.0,10.0,C42,Petrov's Defense,300+0,Normal
 Bullet ,abner93rubiks,ZayZay,1-0,2016.06.30,22:00:05,1332,1326,10.0,-18.0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack,0+2,Time forfeit
 Blitz ,Sakoc,georgereeves,1-0,2016.06.30,22:00:05,1644,1615,10.0,-10.0,A01,Nimzo-Larsen Attack: Classical Variation,180+0,Normal
 Blitz ,Blique,rashidbishop,1-0,2016.06.30,22:00:05,1920,1858,9.0,-9.0,A22,"English Opening: King's English Variation, Two Knights Variation, Reversed Dragon",300+0,Normal
 Blitz ,Portolu,malvolio,0-1,2016.06.30,22:00:06,1971,2198,-5.0,4.0,C68,Ruy Lopez: Exchange Variation,300+0,Normal
 Blitz ,BABAYAGA1988,erupot,1-0,2016.06.30,22:00:06,1403,1118,4.0,-4.0,B30,Sicilian Defense: Old Sicilian,180+3,Normal
 Bullet tournament ,sanle,bastimento,0-1,2016.06.30,22:00:08,2023,1996,-12.0,13.0,A04,Zukertort Opening: Black Mustang Defense,60+0,Normal
 Classical ,Leonard7,owl-13,0-1,2016.06.30,22:00:10,1587,1614,-10.0,12.0,C50,"Italian Game: Giuoco Pianissimo, Normal",480+3,Time forfeit
 Blitz ,invinciblegooner,GurgenONE,1/2-1/2,2016.06.30,22:00:07,1665,1765,2.0,-3.0,C55,Italian Game: Anti-Fried Liver Defense,300+0,Normal
 Bullet ,Ivan2610,eustahije,1/2-1/2,2016.06.30,22:00:10,1595,1673,3.0,-2.0,C02,"French Defense: Advance Variation, Nimzowitsch System",60+2,Normal
 Bullet ,peonamigo,skir,0-1,2016.06.30,22:00:11,1735,1714,-12.0,11.0,C10,French Defense: Rubinstein Variation,120+1,Time forfeit
 Bullet ,Laconia,steq,0-1,2016.06.30,22:00:07,1315,1322,-10.0,12.0,A00,Hungarian Opening: Symmetrical Variation,60+0,Time forfeit
 Blitz ,b0nker2,erdema,1-0,2016.06.30,22:00:04,1422,1403,11.0,-10.0,D00,Queen's Pawn Game: Mason Attack,300+0,Normal
 Blitz ,duncanidah0,FrauKuhn,0-1,2016.06.30,22:00:02,1861,1915,-9.0,10.0,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line",300+0,Normal
 Classical tournament ,alcool,JocaDisa,0-1,2016.06.30,22:00:11,1739,1837,-8.0,9.0,A41,Old Indian Defense,600+0,Normal
 Blitz tournament ,AROLDXV,Chatard,0-1,2016.06.30,22:00:11,1653,1913,-4.0,4.0,A00,Saragossa Opening,180+0,Time forfeit
 Blitz tournament ,ELE5EN,ghorbato,1-0,2016.06.30,22:00:11,2151,2089,12.0,-8.0,A46,Torre Attack #2,180+2,Normal
 Blitz ,lopezmontes,kcrabs,1-0,2016.06.30,22:00:11,1410,1530,15.0,-15.0,A40,"Englund Gambit Declined, Reversed French",300+0,Normal
 Classical ,Quidams,vasyl-60,0-1,2016.06.30,22:00:09,1597,1761,-6.0,6.0,C00,French Defense: La Bourdonnais Variation,600+0,Time forfeit
 Bullet ,edushi,tiltCHIMP,0-1,2016.06.30,22:00:10,1520,1791,-5.0,4.0,B23,Sicilian Defense: Closed,60+0,Normal
 Blitz ,GY1986,RobRigatoni,1-0,2016.06.30,22:00:12,1519,1697,18.0,-16.0,A00,Van't Kruijs Opening,300+0,Time forfeit
 Classical ,rodrigokenji,kimosd,0-1,2016.06.30,22:00:14,1457,1869,-3.0,2.0,A84,Dutch Defense: Classical Variation,1200+5,Normal
 Blitz ,altyse,chessacless,1-0,2016.06.30,22:00:13,1871,1575,4.0,-4.0,B07,Pirc Defense #5,300+0,Normal
 Blitz ,Arranz,fel1x,0-1,2016.06.30,22:00:10,1693,1718,-10.0,10.0,B54,Sicilian Defense,180+0,Normal
 Classical ,guyincog,celinadia,0-1,2016.06.30,22:00:14,1155,1291,-10.0,8.0,D01,Queen's Pawn Game: Chigorin Variation,1200+0,Normal
 Classical ,sarraff12,AL3103,1-0,2016.06.30,22:00:14,1751,1467,4.0,-4.0,C40,King's Pawn Game: Busch-Gass Gambit,900+0,Time forfeit
 Blitz ,ANTItheist,aavza50,0-1,2016.06.30,22:00:14,1784,1635,-15.0,15.0,A10,English Opening: Anglo-Scandinavian Defense,180+0,Normal
 Classical ,xxrobertoxx,mama29,1-0,2016.06.30,22:00:11,1577,1377,12.0,-6.0,B40,Sicilian Defense: Paulsen-Basman Defense,480+8,Normal
 Blitz tournament ,mam0061,eshshennawy92,1-0,2016.06.30,22:00:14,1738,2135,22.0,-24.0,C02,French Defense: Advance Variation,180+2,Time forfeit
 Bullet tournament ,poke_key,juanfer90,1-0,2016.06.30,22:00:11,1839,2170,21.0,-21.0,B00,Caro-Kann Defense: Hillbilly Attack,60+0,Normal
 Blitz tournament ,emresoner,gautama2016,0-1,2016.06.30,22:00:14,1748,1910,-7.0,7.0,D00,Blackmar-Diemer Gambit: Rasa-Studier Gambit,180+0,Normal
 Classical ,MIXA057,ringhals,0-1,2016.06.30,22:00:20,1496,1476,-11.0,12.0,A45,Indian Game,600+0,Normal
 Classical ,Matteom,nexmax85,1/2-1/2,2016.06.30,22:00:15,1511,1621,4.0,-3.0,C23,Bishop's Opening,300+5,Normal
 Classical ,GPOP,FLODOR16,0-1,2016.06.30,22:00:16,1721,1733,-10.0,11.0,C33,"King's Gambit Accepted, Bishop's Gambit, Maurian Defense",1200+0,Normal
 Blitz tournament ,Tarek_Fathy,Nabeelchess,1-0,2016.06.30,22:00:11,2010,2031,12.0,-11.0,A36,"English Opening: Symmetrical Variation, Fianchetto Variation",180+2,Normal
 Bullet ,akrom4,Petrochiant,1-0,2016.06.30,22:00:15,2341,2171,7.0,-6.0,A00,Van Geet Opening,60+0,Time forfeit
 Classical ,djgr887,luigino,0-1,2016.06.30,22:00:14,1637,1513,-15.0,17.0,C27,Vienna Game,900+0,Normal
 Bullet ,ecke,psycho12,1-0,2016.06.30,22:00:17,1908,1837,9.0,-9.0,A00,Van't Kruijs Opening,30+0,Time forfeit
 Blitz ,arangirovshik,Juuanda,1-0,2016.06.30,22:00:14,1458,1700,17.0,-22.0,B20,Sicilian Defense: Bowdler Attack,300+0,Normal
 Classical tournament ,oissa,Algebra1,1-0,2016.06.30,22:00:17,1827,1327,1.0,-2.0,D00,Queen's Pawn Game: Chigorin Variation,600+0,Normal
 Blitz ,maxisasson,alexcms,0-1,2016.06.30,22:00:18,2088,2053,-12.0,11.0,B00,Nimzowitsch Defense: Williams Variation,180+0,Normal
 Blitz ,cenk1,Bojanisimo,0-1,2016.06.30,22:00:18,1581,1423,-32.0,22.0,A00,Mieses Opening,300+0,Normal
 Classical ,LeslieChess,PizzaShaman,0-1,2016.06.30,22:00:20,1484,1466,-11.0,23.0,D01,Queen's Pawn Game: Chigorin Variation,1500+0,Time forfeit
 Bullet ,jjagudelo,nilo1968,1-0,2016.06.30,22:00:19,1903,1683,5.0,-5.0,B32,Sicilian Defense: Franco-Sicilian Variation,60+0,Normal
 Blitz ,ChessPlayer3000,wesh,0-1,2016.06.30,22:00:19,2263,2292,-9.0,10.0,C05,"French Defense: Tarrasch Variation, Closed Variation",300+0,Normal
 Classical ,daan1982,Veska,1-0,2016.06.30,22:00:20,1734,1500,4.0,-87.0,C20,Bishop's Opening: Boi Variation,120+10,Time forfeit
 Classical ,n00bi,nedmac101,1-0,2016.06.30,22:00:20,1537,1433,8.0,-8.0,B07,Pirc Defense #5,420+8,Time forfeit
 Classical ,niubo,cnv,1-0,2016.06.30,22:00:22,1903,1951,14.0,-14.0,C22,Center Game: Berger Variation,120+12,Normal
 Blitz ,makpro,qwwqqwwq,1-0,2016.06.30,22:00:21,1731,1709,12.0,-11.0,A00,Hungarian Opening: Slav Formation,240+0,Time forfeit
 Blitz ,kotbegemot,lord_war,0-1,2016.06.30,22:00:23,1959,1967,-10.0,10.0,D50,Queen's Gambit Declined: Modern Variation,300+0,Normal
 Classical ,delavoro,ONeologista,1-0,2016.06.30,22:00:16,1621,1281,4.0,-6.0,C42,Russian Game: Three Knights Game,900+0,Normal
 Blitz ,Reav,cino,0-1,2016.06.30,22:00:22,1869,1876,-10.0,11.0,B57,"Sicilian Defense: Sozin, not Scheveningen",180+0,Time forfeit
 Blitz ,pugges,lastovka,1-0,2016.06.30,22:00:22,1751,1898,16.0,-16.0,B20,Sicilian Defense: Staunton-Cochrane Variation,300+0,Normal
 Classical ,Nutsynuts,vilder,1-0,2016.06.30,22:00:23,1523,1531,12.0,-11.0,C00,French Defense: Normal Variation,600+0,Normal
 Blitz ,persiangulf2015,babouchboy,1-0,2016.06.30,22:00:23,2001,1950,9.0,-9.0,A58,Benko Gambit: Zaitsev System,300+0,Normal
 Blitz ,Soulalone,anissagr,0-1,2016.06.30,22:00:23,1321,1528,-17.0,5.0,A00,Crab Opening,300+0,Normal
 Blitz tournament ,NOVA3,MatiRL,0-1,2016.06.30,22:00:24,1857,2077,-6.0,6.0,B00,Caro-Kann Defense: Hillbilly Attack,180+0,Normal
 Blitz tournament ,denisk77,Octa99,0-1,2016.06.30,22:00:24,1930,1524,-22.0,22.0,D02,Queen's Pawn Game: Zukertort Variation,300+0,Normal
 Bullet ,Powoto,delnik,0-1,2016.06.30,22:00:20,1804,1822,-10.0,10.0,B00,Owen Defense,0+2,Normal
 Classical ,Jetsunema,will181,0-1,2016.06.30,22:00:25,1384,1400,-11.0,11.0,B07,King's Pawn Game: Maroczy Defense,900+8,Time forfeit
 Classical ,beactor,chapomen,1-0,2016.06.30,22:00:25,1486,1467,11.0,-10.0,C00,French Defense: Normal Variation,600+2,Normal
 Bullet ,isergant,Maurizio1963,1-0,2016.06.30,22:00:20,1743,1620,8.0,-7.0,A01,Nimzo-Larsen Attack: Modern Variation #2,30+0,Normal
 Classical ,Ferma23,runslack,1/2-1/2,2016.06.30,22:00:21,1270,1101,-10.0,4.0,A00,Hungarian Opening,300+5,Normal
 Classical ,dipak2015,CharNando,0-1,2016.06.30,22:00:26,1808,2105,-4.0,4.0,C44,King's Knight Opening: Normal Variation,540+0,Normal
 Classical ,Paco64,MasterMRK,1-0,2016.06.30,22:00:26,1333,1328,11.0,-11.0,B01,Scandinavian Defense,600+1,Normal
 Blitz ,KFerapont,PiotrAnton,0-1,2016.06.30,22:00:27,1951,1947,-10.0,11.0,B32,Sicilian Defense: Loewenthal Variation,180+0,Normal
 Bullet ,SmoothMD,willbiggz,0-1,2016.06.30,22:00:27,1138,1326,-21.0,5.0,A00,Van't Kruijs Opening,30+0,Time forfeit
 Blitz ,Roddie91,FernandoGCSilva,0-1,2016.06.30,22:00:27,1454,1970,-2.0,1.0,E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Marco Defense",180+2,Normal
 Classical ,jpFrance,CapFlint,0-1,2016.06.30,22:00:28,1313,1616,-4.0,3.0,A40,Horwitz Defense,900+0,Normal
 Blitz ,Shkipp,Jammin101,1-0,2016.06.30,22:00:28,1509,1495,10.0,-10.0,C57,"Italian Game: Two Knights Defense, Fried Liver Attack",300+0,Normal
 Blitz ,sayiner,raika,1-0,2016.06.30,22:00:25,1940,1927,14.0,-10.0,A30,English Opening: Symmetrical Variation,120+3,Normal
 Blitz ,buddycheck,Bishopkiller61,0-1,2016.06.30,22:00:28,1722,1764,-10.0,10.0,A40,Queen's Pawn,180+0,Time forfeit
 Classical ,rammyrodriguez,niklos,1-0,2016.06.30,22:00:28,2090,2032,9.0,-9.0,B30,Sicilian Defense: Old Sicilian,1200+0,Normal
 Blitz ,lpba,hpawn,1-0,2016.06.30,22:00:28,2078,2168,15.0,-13.0,A00,Saragossa Opening,180+0,Time forfeit
 Bullet ,Adkos__95,Rovers84,0-1,2016.06.30,22:00:29,1762,1754,-12.0,11.0,C00,French Defense: Knight Variation,30+0,Normal
 Blitz ,Hoala,dero06,0-1,2016.06.30,22:00:29,1631,1702,-8.0,9.0,A10,English Opening: Great Snake Variation,300+0,Normal
 Bullet ,karalyte,zioIggino,1-0,2016.06.30,22:00:29,1581,1538,10.0,-10.0,E10,Blumenfeld Countergambit #2,0+3,Normal
 Bullet ,MikeTerrorista,TRITWN,0-1,2016.06.30,22:00:26,2303,2161,-18.0,14.0,A00,Van't Kruijs Opening,60+0,Time forfeit
 Classical ,POTEMK,MoritzIsler,0-1,2016.06.30,22:00:29,1168,1381,-30.0,5.0,A00,Polish Opening,10800+0,Normal
 Bullet ,webneco,HasanAgha,1-0,2016.06.30,22:00:26,1410,1440,12.0,-13.0,C50,Italian Game,0+3,Normal
 Bullet ,Baep,SOLODSV72,0-1,2016.06.30,22:00:30,1357,1347,-12.0,12.0,B00,Nimzowitsch Defense,120+0,Normal
 Classical ,joshuwack,OMAR226,1-0,2016.06.30,22:00:30,1761,1665,8.0,-11.0,B01,Scandinavian Defense: Mieses-Kotroc Variation,300+8,Time forfeit
 Blitz ,Paladyn,papio178,1-0,2016.06.30,22:00:30,1621,1724,13.0,-14.0,C25,Vienna Game: Anderssen Defense,180+0,Normal
 Classical ,burnthewitch,Mahmoud01012480,0-1,2016.06.30,22:00:30,1265,1266,-90.0,16.0,D00,Blackmar-Diemer Gambit: von Popiel Gambit,600+5,Time forfeit
 Blitz ,AntoineBriet,Beletko,1-0,2016.06.30,22:00:34,2524,2434,8.0,-8.0,B77,"Sicilian Defense: Dragon Variation, Yugoslav Attack",180+0,Normal
 Blitz ,hvallo,tictacboom,0-1,2016.06.30,22:00:36,1425,1661,-5.0,5.0,B40,Sicilian Defense: Delayed Alapin Variation,300+0,Normal
 Blitz ,Alejandroagudelo,D-Tannhauser,1-0,2016.06.30,22:00:31,1894,1775,8.0,-6.0,B01,Scandinavian Defense: Main Line,180+1,Normal
 Blitz ,johnsama,companal2,1-0,2016.06.30,22:00:31,1673,1739,13.0,-12.0,C01,"French Defense: Exchange Variation, Monte Carlo Variation",360+0,Normal
 Bullet ,fsanna,MINSK_VAMPIRE,0-1,2016.06.30,22:00:34,1857,1887,-10.0,9.0,D04,Queen's Pawn Game: Colle System,0+1,Time forfeit
 Bullet tournament ,amateur2016,knightfactor,1-0,2016.06.30,22:00:36,2196,2261,15.0,-14.0,A00,Mieses Opening,60+0,Normal
 Bullet tournament ,chupakabr,Skiter,0-1,2016.06.30,22:00:36,2070,2021,-14.0,15.0,C46,Three Knights Opening,60+0,Time forfeit
 Blitz ,shahmatchi,lorb,1-0,2016.06.30,22:00:36,1703,1778,13.0,-13.0,C33,"King's Gambit Accepted, Breyer Gambit",120+8,Normal
 Classical ,prostoman,Atomalpol,0-1,2016.06.30,22:00:37,1559,1754,-6.0,6.0,C23,Bishop's Opening,300+8,Normal
 Classical ,jluctruc,athrye,0-1,2016.06.30,22:00:37,1238,1297,-15.0,9.0,B20,Sicilian Defense: Mengarini Variation,300+8,Normal
 Blitz ,Aushev_1,Arthurwns,0-1,2016.06.30,22:00:38,1590,1873,-4.0,4.0,B01,Scandinavian Defense,180+0,Normal
 Classical ,jakarta95,mosa6,0-1,2016.06.30,22:00:38,1625,1993,-3.0,3.0,C34,"King's Gambit Accepted, MacLeod Defense",600+0,Normal
 Blitz ,easypls,fredasto,1-0,2016.06.30,22:00:38,2101,2097,11.0,-11.0,B10,Caro-Kann Defense: Two Knights Attack,300+0,Normal
 Classical ,elham59,sepehr-hn,0-1,2016.06.30,22:00:29,1789,1686,-15.0,14.0,C42,Russian Game: Urusov Gambit,1800+1,Normal
 Blitz ,plumbus,japphan,1-0,2016.06.30,22:00:39,1641,1670,12.0,-12.0,A84,Dutch Defense: Normal Variation,300+0,Normal
 Blitz tournament ,gattababu,hotspring,1-0,2016.06.30,22:00:39,1865,1632,5.0,-5.0,D05,Colle System: Traditional Colle,180+0,Normal
 Bullet ,Slobinator,elcordobes,1-0,2016.06.30,22:00:39,1912,1636,4.0,-4.0,A43,Franco-Benoni Defense,60+2,Normal
 Bullet ,win1soon,jenchiegrave,0-1,2016.06.30,22:00:39,1724,1618,-13.0,14.0,B30,Sicilian Defense: Old Sicilian,60+2,Normal
 Bullet ,Vinvin,jibgir2,1-0,2016.06.30,22:00:40,2107,2129,9.0,-12.0,B02,Alekhine Defense,60+0,Time forfeit
