Event,White,Black,Result,UTCDate,UTCTime,WhiteElo,BlackElo,WhiteRatingDiff,BlackRatingDiff,ECO,Opening,TimeControl,Termination
 Bullet tournament ,dojocleaninh,JusticeBeaverr,0-1,2016.06.30,22:13:56,1866,1847,-13.0,12.0,B45,"Sicilian Defense: Paulsen Variation, Normal Variation",60+0,Time forfeit
 Bullet ,pawnponito,ars521,1-0,2016.06.30,22:13:56,1341,1671,22.0,-20.0,C50,"Italian Game: Giuoco Pianissimo, Normal",60+1,Time forfeit
 Bullet ,skir,m9ra,0-1,2016.06.30,22:13:55,1727,1778,-9.0,9.0,D12,"Slav Defense: Quiet Variation, Schallopp Defense",120+1,Time forfeit
 Bullet tournament ,zdiegol,el3ph4nt,1-0,2016.06.30,22:13:56,1715,1933,19.0,-17.0,B10,Caro-Kann Defense,60+0,Time forfeit
 Classical ,thikal,Behhzat,1-0,2016.06.30,22:13:54,1749,1837,12.0,-78.0,B00,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation",900+0,Normal
 Blitz ,gekikara,nic92n,1-0,2016.06.30,22:13:57,1636,1545,9.0,-9.0,B01,Scandinavian Defense,300+0,Time forfeit
 Blitz ,Transit,dputros,0-1,2016.06.30,22:13:56,1569,1603,-9.0,11.0,C25,Vienna Game: Anderssen Defense,180+0,Time forfeit
 Blitz ,prostoman,vadim254b,0-1,2016.06.30,22:13:58,1379,1450,-9.0,11.0,C23,Bishop's Opening,300+4,Normal
 Blitz ,BrunoCosta,Pichone,0-1,2016.06.30,22:13:54,1515,1531,-10.0,24.0,C68,"Ruy Lopez: Exchange Variation, Lutikov Variation",300+0,Normal
 Blitz ,Nike002,DarthRexLOL,0-1,2016.06.30,22:13:58,1913,1915,-10.0,12.0,A49,East Indian Defense,300+0,Time forfeit
 Bullet tournament ,richglanzav,laussy,1-0,2016.06.30,22:13:56,2150,1756,3.0,-2.0,C20,King's Pawn Game: Leonardis Variation,60+0,Normal
 Blitz ,klas431,ecoaldea,1-0,2016.06.30,22:13:58,1767,1586,6.0,-6.0,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack",180+0,Normal
 Bullet tournament ,peapea,Scala,0-1,2016.06.30,22:13:56,1336,1533,-7.0,6.0,A06,Zukertort Opening: Tennison Gambit,60+0,Time forfeit
 Blitz tournament ,lj1983,Aexchange,0-1,2016.06.30,22:13:59,1993,2058,-9.0,10.0,B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation",180+0,Normal
 Bullet ,Joris_Busink,paleta,0-1,2016.06.30,22:13:55,1531,1621,-7.0,8.0,B20,Sicilian Defense: Bowdler Attack,120+1,Normal
 Blitz tournament ,walteriorocha,arruventa,1-0,2016.06.30,22:13:59,2021,1858,7.0,-7.0,B00,Goldsmith Defense,180+0,Time forfeit
 Bullet ,karpovs_putzfrau,Lola3745,0-1,2016.06.30,22:14:00,2401,2335,-15.0,12.0,B07,Pirc Defense #3,30+0,Time forfeit
 Blitz ,Caickovski,ignatiusJReilly,1-0,2016.06.30,22:13:57,1466,1545,20.0,-12.0,C45,Scotch Game,240+0,Normal
 Classical ,demyann35,neoser16,1-0,2016.06.30,22:14:01,1391,1562,16.0,-15.0,C18,"French Defense: Winawer Variation, Maroczy-Wallis Variation",600+0,Time forfeit
 Blitz ,GunnerDa91,VinChessUGM,0-1,2016.06.30,22:14:00,1223,1787,-1.0,2.0,A00,Van't Kruijs Opening,300+1,Time forfeit
 Blitz ,ziomizar,liliencron,1-0,2016.06.30,22:14:01,1766,2019,18.0,-21.0,B12,Caro-Kann Defense: Advance Variation,300+2,Normal
 Classical ,RazorJH,Phellipe17,0-1,2016.06.30,22:14:01,1578,1728,-7.0,8.0,B00,Owen Defense,600+0,Normal
 Bullet ,dunny,Turukmakkto,1-0,2016.06.30,22:14:02,1850,1907,13.0,-13.0,A40,Horwitz Defense,60+0,Normal
 Classical ,fuzzycy,Sale81,0-1,2016.06.30,22:14:03,1753,1498,-20.0,23.0,B01,Scandinavian Defense,720+8,Time forfeit
 Correspondence ,JavierZavaria,ElZavaria,1-0,2016.06.30,22:14:02,1682,1500,22.0,-30.0,C42,Russian Game: Three Knights Game,-,Normal
 Bullet tournament ,dangarciaa,altuntun,1-0,2016.06.30,22:13:56,1672,1367,4.0,-4.0,A40,Mikenas Defense,60+0,Time forfeit
 Blitz ,Peterchess69,aragats,1/2-1/2,2016.06.30,22:14:03,1785,1851,2.0,-2.0,E90,"King's Indian Defense: Normal Variation, Rare Defenses",180+0,Normal
 Blitz tournament ,dramekito,sznorby87,1-0,2016.06.30,22:14:02,1617,1423,6.0,-7.0,C00,French Defense: Normal Variation,300+0,Normal
 Blitz tournament ,Kamb,Emrekurt20,1-0,2016.06.30,22:13:59,1983,1840,7.0,-7.0,A34,"English Opening: Symmetrical Variation, Normal Variation",180+0,Normal
 Classical ,Furkan8,seis6seis,1-0,2016.06.30,22:13:55,1630,1616,19.0,-10.0,C00,French Defense: Knight Variation,600+0,Normal
 Bullet ,Bibi1983,Tatok77,0-1,2016.06.30,22:13:59,1918,1893,-11.0,11.0,A00,Hungarian Opening: Catalan Formation,60+0,Time forfeit
