town,studio_units,1br_units,2br_units,3br_units,4br_units,tot_units,square_footage,ceiling_height,final_market_value,investment_rating,net_operating_income,parking_spots,year_built
Elk Grove,0.0,0,0,0.0,0.0,0,3392,8,895347,C,23771,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,113714,12,6472221,C,550944,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,270964,13,15422367,C,1312820,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,193388,40,20661435,B,1171206,0.0,2020
Elk Grove,0.0,0,0,0.0,0.0,0,24160,17,1670529,C,159359,0.0,1975
Elk Grove,0.0,0,0,0.0,0.0,0,51120,22,4691694,C,309791,0.0,2008
Elk Grove,0.0,0,0,0.0,0.0,0,24080,29,1664998,C,158831,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,39985,20,2764740,C,263741,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,31892,23,2205154,C,210359,0.0,1975
Elk Grove,0.0,0,0,0.0,0.0,0,28728,16,1986381,C,189489,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,20410,12,1411238,C,134624,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,12188,18,901116,C,85416,0.0,1988
Elk Grove,0.0,0,0,0.0,0.0,0,7300,18,936436,C,63950,0.0,2021
Elk Grove,0.0,0,0,0.0,0.0,0,31461,21,2175353,C,207516,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,11400,16,842855,C,79894,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,8240,14,633681,C,57747,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,16400,18,1986241,C,143669,0.0,2018
Elk Grove,0.0,0,0,0.0,0.0,0,56320,20,3636238,C,325050,0.0,1994
Elk Grove,0.0,0,0,0.0,0.0,0,94656,20,6111359,C,546307,0.0,1976
Elk Grove,0.0,0,0,0.0,0.0,0,10040,17,742304,C,70362,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,11060,17,817718,C,77511,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,14716,14,2338211,C,103133,0.0,1963
Elk Grove,0.0,0,0,0.0,0.0,0,3128,16,1176867,C,21921,0.0,1997
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1982
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,5000,14,382173,C,35041,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,5000,15,382173,C,35041,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,15,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,4860,16,410232,C,34060,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,5000,18,382173,C,35041,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,5000,18,382173,C,35041,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4968,18,379727,C,34816,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,4968,16,379727,C,34816,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,5000,16,382173,C,35041,0.0,1987
Elk Grove,0.0,0,0,0.0,0.0,0,5000,16,382173,C,35041,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,15570,13,1151163,C,109118,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,10040,19,742304,C,70362,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,21384,16,1478584,C,141048,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,11166,16,825555,C,78254,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,12236,17,904665,C,85752,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,9280,19,709314,C,65036,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,12240,19,904961,C,85780,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,23925,20,1654280,C,157809,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,10201,18,754208,C,71491,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,26460,25,1829562,C,174530,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,9842,16,752270,C,68975,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,19800,16,1463907,C,138763,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4385,15,335166,C,30731,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,21566,16,1491169,C,142249,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,9760,15,746002,C,68400,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,3840,16,293509,C,26911,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,21566,16,1491169,C,142249,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,24374,19,1685326,C,160770,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,14016,16,1036269,C,98227,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,5040,14,397471,C,35321,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,5000,20,382173,C,35041,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,5000,16,382173,C,35041,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,5000,16,382173,C,35041,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,5400,16,412747,C,37844,0.0,1975
Elk Grove,0.0,0,0,0.0,0.0,0,8934,14,682867,C,62611,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,5400,16,412747,C,37844,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,5400,16,412747,C,37844,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,24678,18,1706346,C,162776,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,49810,26,3215927,C,287478,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,141629,60,15131541,B,857740,0.0,2020
Elk Grove,0.0,0,0,0.0,0.0,0,150270,30,14355615,B,837266,0.0,2016
Elk Grove,0.0,0,0,0.0,0.0,0,27136,20,1876303,C,178989,0.0,1983
Elk Grove,0.0,0,0,0.0,0.0,0,12590,18,930838,C,88233,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,9955,15,760907,C,69767,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,23004,19,1590598,C,151734,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,21283,18,1471601,C,140382,0.0,1967
Elk Grove,0.0,0,0,0.0,0.0,0,27344,16,1890685,C,180361,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,23781,19,1644324,C,156859,0.0,1967
Elk Grove,0.0,0,0,0.0,0.0,0,13184,20,974755,C,92396,0.0,1969
Elk Grove,0.0,0,0,0.0,0.0,0,12260,17,906439,C,85921,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,35490,16,2453936,C,234092,0.0,2000
Elk Grove,0.0,0,0,0.0,0.0,0,10000,16,764347,C,70082,0.0,1966
Elk Grove,0.0,0,0,0.0,0.0,0,8732,14,667427,C,61196,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,15075,18,1114565,C,105649,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,7520,16,574789,C,52702,0.0,1967
Elk Grove,0.0,0,0,0.0,0.0,0,10000,16,764347,C,70082,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,29940,16,2070184,C,197484,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,9075,16,693645,C,63599,0.0,1968
Elk Grove,0.0,0,0,0.0,0.0,0,18430,16,1362616,C,129162,0.0,1968
Elk Grove,0.0,0,0,0.0,0.0,0,17760,18,1313080,C,124466,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,15059,16,1113382,C,105537,0.0,1968
Elk Grove,0.0,0,0,0.0,0.0,0,12000,15,887216,C,84099,0.0,1967
Elk Grove,0.0,0,0,0.0,0.0,0,12540,18,927141,C,87883,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,27600,18,1908386,C,182049,0.0,1964
Elk Grove,0.0,0,0,0.0,0.0,0,1008,12,142139,C,7064,0.0,1967
Elk Grove,0.0,0,0,0.0,0.0,0,1664,10,183873,C,11661,0.0,1967
Elk Grove,0.0,0,0,0.0,0.0,0,5005,18,382555,C,35076,0.0,1969
Elk Grove,0.0,0,0,0.0,0.0,0,11970,17,884998,C,83888,0.0,1967
Elk Grove,0.0,0,0,0.0,0.0,0,7490,16,572496,C,52491,0.0,1969
Elk Grove,0.0,0,0,0.0,0.0,0,8144,15,622484,C,57075,0.0,1968
Elk Grove,0.0,0,0,0.0,0.0,0,77014,12,4972323,C,444486,0.0,1991
Elk Grove,0.0,0,0,0.0,0.0,0,6300,15,481538,C,44151,0.0,1968
Elk Grove,0.0,0,0,0.0,0.0,0,6300,16,481538,C,44151,0.0,1962
Elk Grove,0.0,0,0,0.0,0.0,0,24752,18,1711463,C,163264,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,16508,15,1220514,C,115692,0.0,1978
Elk Grove,0.0,0,0,0.0,0.0,0,7475,16,571349,C,52386,0.0,1968
Elk Grove,0.0,0,0,0.0,0.0,0,23497,20,1624687,C,154986,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,1664,12,155611,C,11661,0.0,1968
Elk Grove,0.0,0,0,0.0,0.0,0,8050,18,615299,C,56416,0.0,1973
Elk Grove,0.0,0,0,0.0,0.0,0,5431,14,417462,C,38061,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,15000,17,1109020,C,105123,0.0,1969
Elk Grove,0.0,0,0,0.0,0.0,0,19500,16,1441727,C,136660,0.0,1968
Elk Grove,0.0,0,0,0.0,0.0,0,3200,18,305791,C,22426,0.0,1970
Elk Grove,0.0,0,0,0.0,0.0,0,6400,17,489182,C,44852,0.0,1974
Elk Grove,0.0,0,0,0.0,0.0,0,8033,16,614000,C,56297,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,8640,16,660396,C,60551,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,8100,16,619121,C,56766,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,18,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,4467,14,341433,C,31305,0.0,1971
Elk Grove,0.0,0,0,0.0,0.0,0,19800,17,1463907,C,138763,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,23790,17,1644946,C,156918,0.0,1967
Elk Grove,0.0,0,0,0.0,0.0,0,9629,16,735989,C,67482,0.0,1914
Elk Grove,0.0,0,0,0.0,0.0,0,21770,17,1505274,C,143594,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,18265,15,1350417,C,128005,0.0,1979
Elk Grove,0.0,0,0,0.0,0.0,0,15000,17,1109020,C,105123,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,10000,16,764347,C,70082,0.0,1977
Elk Grove,0.0,0,0,0.0,0.0,0,32076,17,2217877,C,211573,0.0,1972
Elk Grove,0.0,0,0,0.0,0.0,0,14460,16,1069096,C,101339,0.0,1981
Elk Grove,0.0,0,0,0.0,0.0,0,30401,20,2102060,C,200524,0.0,1987
