geoid,name,year,total_pop,plumbing,percent_lacking_plumbing
13077,"Coweta County, Georgia",2023,155892,118.0,0.0756934287840299
45047,"Greenwood County, South Carolina",2023,69460,319.0,0.4592571264036856
47037,"Davidson County, Tennessee",2023,712334,185.0,0.0259709630594636
22079,"Rapides Parish, Louisiana",2023,126260,141.0,0.1116743228259147
12095,"Orange County, Florida",2023,1471416,593.0,0.0403013151957026
13135,"Gwinnett County, Georgia",2023,983526,220.0,0.0223684986467058
48135,"Ector County, Texas",2023,164494,184.0,0.1118581832772016
49011,"Davis County, Utah",2023,373207,880.0,0.235794076745613
27171,"Wright County, Minnesota",2023,151150,27.0,0.0178630499503804
42051,"Fayette County, Pennsylvania",2023,123915,174.0,0.1404188354920711
26163,"Wayne County, Michigan",2023,1751169,1699.0,0.0970209043216274
33009,"Grafton County, New Hampshire",2023,93146,50.0,0.0536791703347433
47163,"Sullivan County, Tennessee",2023,162135,289.0,0.1782465229592623
6055,"Napa County, California",2023,133216,148.0,0.11109776603411
6083,"Santa Barbara County, California",2023,441257,47.0,0.0106513890997763
53077,"Yakima County, Washington",2023,256643,264.0,0.102866627961799
9190,"Western Connecticut Planning Region, Connecticut",2023,623907,134.0,0.0214775599568525
45057,"Lancaster County, South Carolina",2023,108215,303.0,0.2799981518273807
16083,"Twin Falls County, Idaho",2023,95156,0.0,0.0
37159,"Rowan County, North Carolina",2023,151661,0.0,0.0
42063,"Indiana County, Pennsylvania",2023,83094,175.0,0.210604857149734
47187,"Williamson County, Tennessee",2023,264460,122.0,0.046131740149739
1081,"Lee County, Alabama",2023,183215,0.0,0.0
5143,"Washington County, Arkansas",2023,261549,78.0,0.0298223277473819
9150,"Northeastern Connecticut Planning Region, Connecticut",2023,96692,16.0,0.0165473875811856
12015,"Charlotte County, Florida",2023,206134,53.0,0.0257114304287502
1095,"Marshall County, Alabama",2023,100756,192.0,0.1905593711540752
37049,"Craven County, North Carolina",2023,102391,0.0,0.0
51003,"Albemarle County, Virginia",2023,115676,107.0,0.0924997406549327
53021,"Franklin County, Washington",2023,99034,0.0,0.0
12103,"Pinellas County, Florida",2023,961596,451.0,0.0469011934325849
72127,"San Juan Municipio, Puerto Rico",2023,333005,726.0,0.2180147445233555
16027,"Canyon County, Idaho",2023,257674,98.0,0.0380325527604647
39061,"Hamilton County, Ohio",2023,827058,626.0,0.075689975793717
48005,"Angelina County, Texas",2023,87319,172.0,0.1969788934825181
48347,"Nacogdoches County, Texas",2023,65375,231.0,0.3533460803059273
47141,"Putnam County, Tennessee",2023,83844,155.0,0.1848671342016125
36113,"Warren County, New York",2023,65380,271.0,0.4144998470480269
24027,"Howard County, Maryland",2023,336001,310.0,0.0922616301737197
12119,"Sumter County, Florida",2023,151565,319.0,0.210470755121565
4017,"Navajo County, Arizona",2023,109175,2019.0,1.8493244790474008
17111,"McHenry County, Illinois",2023,312800,256.0,0.0818414322250639
18163,"Vanderburgh County, Indiana",2023,179810,390.0,0.2168956120349257
12081,"Manatee County, Florida",2023,441095,546.0,0.1237828585678822
13047,"Catoosa County, Georgia",2023,68910,107.0,0.1552749963720795
1125,"Tuscaloosa County, Alabama",2023,237373,82.0,0.0345447881604057
18127,"Porter County, Indiana",2023,175335,225.0,0.128325776370947
19193,"Woodbury County, Iowa",2023,105951,55.0,0.0519107889496087
20091,"Johnson County, Kansas",2023,622237,289.0,0.046445325494948
20209,"Wyandotte County, Kansas",2023,165281,57.0,0.0344867226117944
26005,"Allegan County, Michigan",2023,121939,238.0,0.1951795569916105
26091,"Lenawee County, Michigan",2023,97520,113.0,0.1158736669401148
26021,"Berrien County, Michigan",2023,152261,14.0,0.0091947379828058
29165,"Platte County, Missouri",2023,111940,31.0,0.0276934071824191
31055,"Douglas County, Nebraska",2023,589540,261.0,0.0442718051362078
31153,"Sarpy County, Nebraska",2023,199886,108.0,0.0540307975546061
40143,"Tulsa County, Oklahoma",2023,682868,487.0,0.071316857723601
40031,"Comanche County, Oklahoma",2023,121574,133.0,0.1093983911033609
47179,"Washington County, Tennessee",2023,138420,40.0,0.0288975581563357
36055,"Monroe County, New York",2023,748482,877.0,0.1171704863978024
36011,"Cayuga County, New York",2023,74485,84.0,0.112774384104182
48085,"Collin County, Texas",2023,1195359,402.0,0.033630064273578
48099,"Coryell County, Texas",2023,84878,253.0,0.2980748839510827
37179,"Union County, North Carolina",2023,256452,39.0,0.0152075242150577
48139,"Ellis County, Texas",2023,222829,85.0,0.0381458427762993
37171,"Surry County, North Carolina",2023,71462,143.0,0.2001063502280932
48397,"Rockwall County, Texas",2023,131307,265.0,0.2018171156145521
48021,"Bastrop County, Texas",2023,110778,150.0,0.1354059470291935
72135,"Toa Alta Municipio, Puerto Rico",2023,65957,65.0,0.0985490546871446
12021,"Collier County, Florida",2023,404310,205.0,0.0507036679775419
12011,"Broward County, Florida",2023,1962531,1344.0,0.0684829946635237
72031,"Carolina Municipio, Puerto Rico",2023,150843,845.0,0.5601850931100548
12061,"Indian River County, Florida",2023,169795,407.0,0.2397008156895079
12005,"Bay County, Florida",2023,190769,303.0,0.1588308372953677
36001,"Albany County, New York",2023,316659,198.0,0.0625278296211382
72021,"Bayamón Municipio, Puerto Rico",2023,180835,854.0,0.4722537119473553
36069,"Ontario County, New York",2023,112494,0.0,0.0
37025,"Cabarrus County, North Carolina",2023,240016,71.0,0.0295813612425838
13045,"Carroll County, Georgia",2023,127098,0.0,0.0
37105,"Lee County, North Carolina",2023,67059,64.0,0.0954383453376877
37069,"Franklin County, North Carolina",2023,77001,278.0,0.3610342722821781
37195,"Wilson County, North Carolina",2023,78970,152.0,0.1924781562618716
55039,"Fond du Lac County, Wisconsin",2023,103948,0.0,0.0
55017,"Chippewa County, Wisconsin",2023,66970,25.0,0.0373301478273854
38101,"Ward County, North Dakota",2023,68332,15.0,0.0219516478370309
72025,"Caguas Municipio, Puerto Rico",2023,124608,235.0,0.1885914227015921
4019,"Pima County, Arizona",2023,1063162,1384.0,0.1301777151553573
41053,"Polk County, Oregon",2023,89805,46.0,0.0512220923111185
42107,"Schuylkill County, Pennsylvania",2023,143786,15.0,0.0104321700304619
6059,"Orange County, California",2023,3135755,2210.0,0.0704774448258872
6079,"San Luis Obispo County, California",2023,281639,135.0,0.0479337023636641
6095,"Solano County, California",2023,449218,240.0,0.0534261761550071
39173,"Wood County, Ohio",2023,132650,118.0,0.0889558989822842
39139,"Richland County, Ohio",2023,125064,198.0,0.1583189407023603
42037,"Columbia County, Pennsylvania",2023,65439,0.0,0.0
12087,"Monroe County, Florida",2023,80614,53.0,0.0657454040241149
39133,"Portage County, Ohio",2023,162665,49.0,0.0301232594596256
39153,"Summit County, Ohio",2023,535733,565.0,0.1054629824931449
42021,"Cambria County, Pennsylvania",2023,130668,62.0,0.047448495423516
9120,"Greater Bridgeport Planning Region, Connecticut",2023,327651,391.0,0.1193342916701002
35013,"Doña Ana County, New Mexico",2023,225210,184.0,0.0817015230229563
35035,"Otero County, New Mexico",2023,68835,210.0,0.3050773589017215
49053,"Washington County, Utah",2023,202452,198.0,0.0978009602276095
8001,"Adams County, Colorado",2023,533365,269.0,0.0504345054512388
36027,"Dutchess County, New York",2023,297150,462.0,0.1554770318021201
31109,"Lancaster County, Nebraska",2023,326716,0.0,0.0
13095,"Dougherty County, Georgia",2023,82645,35.0,0.0423498094258575
18157,"Tippecanoe County, Indiana",2023,188792,332.0,0.175854909106318
26049,"Genesee County, Michigan",2023,401522,655.0,0.1631292930399828
36007,"Broome County, New York",2023,196077,45.0,0.022950167536223
36117,"Wayne County, New York",2023,90829,264.0,0.2906560679959044
26037,"Clinton County, Michigan",2023,79720,49.0,0.0614651279478173
36089,"St. Lawrence County, New York",2023,106940,290.0,0.27118010099121
36079,"Putnam County, New York",2023,98060,0.0,0.0
33001,"Belknap County, New Hampshire",2023,65027,48.0,0.073815492026389
27141,"Sherburne County, Minnesota",2023,102206,0.0,0.0
20015,"Butler County, Kansas",2023,68632,138.0,0.2010723860589812
27131,"Rice County, Minnesota",2023,67948,55.0,0.0809442514864308
27019,"Carver County, Minnesota",2023,111057,0.0,0.0
37071,"Gaston County, North Carolina",2023,237242,55.0,0.0231830788814796
51710,"Norfolk city, Virginia",2023,230930,0.0,0.0
51740,"Portsmouth city, Virginia",2023,96793,0.0,0.0
53073,"Whatcom County, Washington",2023,231919,197.0,0.0849434500838654
28035,"Forrest County, Mississippi",2023,78208,113.0,0.1444864975450081
39029,"Columbiana County, Ohio",2023,100182,0.0,0.0
39025,"Clermont County, Ohio",2023,211972,226.0,0.1066178551884211
29077,"Greene County, Missouri",2023,304611,335.0,0.1099763304673829
39085,"Lake County, Ohio",2023,231640,0.0,0.0
21227,"Warren County, Kentucky",2023,142229,227.0,0.1596017689781971
29187,"St. Francois County, Missouri",2023,67058,28.0,0.0417548987443705
17143,"Peoria County, Illinois",2023,177513,119.0,0.0670373437438384
13015,"Bartow County, Georgia",2023,115041,47.0,0.0408549995219095
13297,"Walton County, Georgia",2023,106702,0.0,0.0
42085,"Mercer County, Pennsylvania",2023,108503,261.0,0.2405463443407094
55105,"Rock County, Wisconsin",2023,164278,164.0,0.0998307746624624
6029,"Kern County, California",2023,913820,621.0,0.0679564903372655
33011,"Hillsborough County, New Hampshire",2023,427354,351.0,0.0821333133655002
34029,"Ocean County, New Jersey",2023,659197,87.0,0.013197875597128
18095,"Madison County, Indiana",2023,132504,117.0,0.0882992211555877
18085,"Kosciusko County, Indiana",2023,80364,95.0,0.1182121347867204
20173,"Sedgwick County, Kansas",2023,528469,377.0,0.0713381485006689
48367,"Parker County, Texas",2023,173494,64.0,0.0368888837654328
48303,"Lubbock County, Texas",2023,320940,291.0,0.090671153486633
18059,"Hancock County, Indiana",2023,86166,43.0,0.0499036743030893
48497,"Wise County, Texas",2023,78097,0.0,0.0
48231,"Hunt County, Texas",2023,113347,36.0,0.0317608758943774
17037,"DeKalb County, Illinois",2023,100288,103.0,0.1027042118698149
8041,"El Paso County, Colorado",2023,744215,545.0,0.0732315258359479
48375,"Potter County, Texas",2023,114647,0.0,0.0
55101,"Racine County, Wisconsin",2023,196613,323.0,0.1642821176626164
55059,"Kenosha County, Wisconsin",2023,167488,13.0,0.0077617500955292
55127,"Walworth County, Wisconsin",2023,105822,73.0,0.068983765190603
13097,"Douglas County, Georgia",2023,149160,450.0,0.3016894609814963
21199,"Pulaski County, Kentucky",2023,66191,123.0,0.1858258675650768
23019,"Penobscot County, Maine",2023,155312,240.0,0.1545276604512207
55063,"La Crosse County, Wisconsin",2023,120486,0.0,0.0
26155,"Shiawassee County, Michigan",2023,68025,120.0,0.1764057331863285
51700,"Newport News city, Virginia",2023,183118,405.0,0.2211688637927456
55117,"Sheboygan County, Wisconsin",2023,117752,54.0,0.0458590936884299
51800,"Suffolk city, Virginia",2023,100659,127.0,0.1261685492603741
51013,"Arlington County, Virginia",2023,234162,0.0,0.0
55009,"Brown County, Wisconsin",2023,271417,52.0,0.019158711502964
47011,"Bradley County, Tennessee",2023,111579,88.0,0.0788678873264682
51510,"Alexandria city, Virginia",2023,155230,39.0,0.0251240095342395
17199,"Williamson County, Illinois",2023,66706,107.0,0.1604053608371061
17167,"Sangamon County, Illinois",2023,193491,139.0,0.0718379666237706
5119,"Pulaski County, Arkansas",2023,400009,1103.0,0.2757437957645953
47113,"Madison County, Tennessee",2023,99193,14.0,0.0141138991662718
18011,"Boone County, Indiana",2023,76120,13.0,0.0170782974251182
5125,"Saline County, Arkansas",2023,129574,172.0,0.1327426798586136
16001,"Ada County, Idaho",2023,524673,383.0,0.0729978481835352
19169,"Story County, Iowa",2023,98566,0.0,0.0
19013,"Black Hawk County, Iowa",2023,130471,21.0,0.0160955308076124
48291,"Liberty County, Texas",2023,108272,0.0,0.0
18063,"Hendricks County, Indiana",2023,186387,239.0,0.1282278270480237
6031,"Kings County, California",2023,152682,261.0,0.1709435296891578
6103,"Tehama County, California",2023,64896,0.0,0.0
48121,"Denton County, Texas",2023,1007703,335.0,0.0332439220683078
18005,"Bartholomew County, Indiana",2023,84003,7.0,0.0083330357249145
18057,"Hamilton County, Indiana",2023,371645,114.0,0.0306744339356105
20045,"Douglas County, Kansas",2023,120553,309.0,0.2563187975413303
48181,"Grayson County, Texas",2023,146907,330.0,0.2246319099838673
18019,"Clark County, Indiana",2023,125467,109.0,0.0868754333808889
23005,"Cumberland County, Maine",2023,310230,127.0,0.0409373690487702
18141,"St. Joseph County, Indiana",2023,272848,170.0,0.062305752653492
18003,"Allen County, Indiana",2023,394545,151.0,0.0382719334930109
34017,"Hudson County, New Jersey",2023,705472,0.0,0.0
21037,"Campbell County, Kentucky",2023,93702,47.0,0.0501590147488847
34039,"Union County, New Jersey",2023,572726,421.0,0.0735080998592695
21015,"Boone County, Kentucky",2023,140496,86.0,0.0612117070948639
13255,"Spalding County, Georgia",2023,69946,86.0,0.122951991536328
13247,"Rockdale County, Georgia",2023,95987,0.0,0.0
35031,"McKinley County, New Mexico",2023,68797,1585.0,2.3038795296306525
22019,"Calcasieu Parish, Louisiana",2023,203761,55.0,0.0269924077718503
36085,"Richmond County, New York",2023,490687,287.0,0.0584894240116408
36087,"Rockland County, New York",2023,340807,193.0,0.0566302922181762
41059,"Umatilla County, Oregon",2023,80053,96.0,0.11992055263388
29510,"St. Louis city, Missouri",2023,281754,496.0,0.176040091711209
36101,"Steuben County, New York",2023,92162,204.0,0.2213493630780582
41029,"Jackson County, Oregon",2023,220768,263.0,0.1191295839976808
42039,"Crawford County, Pennsylvania",2023,82001,246.0,0.2999963415080304
29097,"Jasper County, Missouri",2023,125056,6.0,0.0047978505629477
36083,"Rensselaer County, New York",2023,159305,0.0,0.0
42007,"Beaver County, Pennsylvania",2023,165631,45.0,0.0271688270915468
45045,"Greenville County, South Carolina",2023,558036,262.0,0.0469503759614075
46083,"Lincoln County, South Dakota",2023,73238,0.0,0.0
13117,"Forsyth County, Georgia",2023,272887,57.0,0.0208877667312843
24510,"Baltimore city, Maryland",2023,565239,160.0,0.0283066101242129
25001,"Barnstable County, Massachusetts",2023,231735,142.0,0.0612768895505642
26139,"Ottawa County, Michigan",2023,303372,127.0,0.0418627955117809
26017,"Bay County, Michigan",2023,102500,186.0,0.1814634146341463
17163,"St. Clair County, Illinois",2023,251018,196.0,0.0780820498928363
19155,"Pottawattamie County, Iowa",2023,93179,143.0,0.1534680561070627
47125,"Montgomery County, Tennessee",2023,239872,67.0,0.0279315635005336
17201,"Winnebago County, Illinois",2023,280922,425.0,0.1512875460092125
17089,"Kane County, Illinois",2023,514982,192.0,0.0372828564881879
17091,"Kankakee County, Illinois",2023,105940,63.0,0.0594676231829337
51760,"Richmond city, Virginia",2023,229247,50.0,0.0218105362338438
51680,"Lynchburg city, Virginia",2023,79535,0.0,0.0
55025,"Dane County, Wisconsin",2023,575347,256.0,0.044494887433149
55027,"Dodge County, Wisconsin",2023,88231,8.0,0.009067107932586
13115,"Floyd County, Georgia",2023,100113,128.0,0.1278555232587176
72061,"Guaynabo Municipio, Puerto Rico",2023,89039,149.0,0.1673424005211199
50007,"Chittenden County, Vermont",2023,169481,76.0,0.0448427847369321
51650,"Hampton city, Virginia",2023,137098,229.0,0.167033800638959
55097,"Portage County, Wisconsin",2023,71024,0.0,0.0
55139,"Winnebago County, Wisconsin",2023,171735,108.0,0.0628875884356712
16055,"Kootenai County, Idaho",2023,185010,124.0,0.0670234041403167
55055,"Jefferson County, Wisconsin",2023,85743,0.0,0.0
18091,"LaPorte County, Indiana",2023,111706,0.0,0.0
55131,"Washington County, Wisconsin",2023,138168,200.0,0.1447513172369868
55073,"Marathon County, Wisconsin",2023,138612,89.0,0.0642080050789253
12109,"St. Johns County, Florida",2023,320110,106.0,0.0331136171940895
39013,"Belmont County, Ohio",2023,64918,0.0,0.0
39007,"Ashtabula County, Ohio",2023,96845,330.0,0.3407506840828127
9160,"Northwest Hills Planning Region, Connecticut",2023,113463,43.0,0.0378978169094771
13285,"Troup County, Georgia",2023,70742,0.0,0.0
12085,"Martin County, Florida",2023,163315,23.0,0.0140832134219147
12111,"St. Lucie County, Florida",2023,373586,343.0,0.0918128623663627
5031,"Craighead County, Arkansas",2023,113993,7.0,0.0061407279394348
42073,"Lawrence County, Pennsylvania",2023,84472,328.0,0.3882943460554977
13295,"Walker County, Georgia",2023,69489,45.0,0.0647584509778526
17179,"Tazewell County, Illinois",2023,129541,22.0,0.0169830401185724
54061,"Monongalia County, West Virginia",2023,107718,90.0,0.0835514955717707
37157,"Rockingham County, North Carolina",2023,92518,0.0,0.0
17099,"LaSalle County, Illinois",2023,108309,0.0,0.0
17113,"McLean County, Illinois",2023,170441,0.0,0.0
